Sprites.htm+html.head.title:55-3,Sprites,スプライト
Sprites.htm+html.body.div.p:207-5,"By default the origin is the <em>top left </em>corner of the sprite but it is often more convenient to use the <em>middle centre</em> or you may wish to have some other position used (like for a platform game character you might want <em>bottom centre</em>), so you can click <img_tag=LMB_Icon:2> on the origin drop-down menu and select one of the default values. You can also set the origin manually by clicking <img_tag=LMB_Icon:3> in the sprite preview image which will move the origin marker cross to the point you clicked, or by inputting different values for x and y in the corresponding boxes. Note that you can even set an origin outside the area of sprite by using negative numbers (for left and up) or positive numbers larger than the sprite width and height (for right and down), which can be very useful when dealing with objects that need to draw composite sprites.",デフォルトでは<em>左上</em>の角が原点として設定されますが、<em>中央</em>に設定したほうが都合の良いことも多く、2Dプラットフォームのキャラクターだから<em>下</em>に設定しておきたいという場合もあるでしょう。そんなときは原点のドロップダウンメニューをクリック<img_tag=LMB_Icon:2>して開き、デフォルトの設定値を変更しましょう。また、スプライトのプレビュー画像をクリック<img_tag=LMB_Icon:3>して原点の十字マークを移動させるか、xとyの入力欄に値を入力することで原点をマニュアル設定できます。数値をマイナス（左と上方向）、あるいはスプライトの縦横幅よりも大きい値（右と下方向）にすれば原点をスプライトの領域外に置くことも可能です。これはスプライトを複数描画するオブジェクトを扱うときに役立つテクニックです。
Sprites.htm+html.body.p:212-3,"<span data-open-text=""true"">Zoom Controls</span><span data-close-text=""true"">Zoom Controls</span>","<span data-open-text=""true"">ズーム操作部</span><span data-close-text=""true"">ズーム操作部</span>"
Sprites.htm+html.body.div.p:214-5,"To the top right of the Preview window you have the <strong>zoom controls</strong>. These buttons control the current preview sprite zoom level. You can zoom in or out and clicking the <img_tag=Zoom_Reset_Icon:0> button will reset the preview to be 1:1 with the sprite being edited. You can also click the Window Fit button <img_tag=Canvas_Fit_Icon:0> to make the entire sprite preview fit within the current editor window (this will zoom in/out as appropriate to make it fit). Note that you can zoom in and out using the <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and the Mouse Wheel <img_tag=MMB_Icon:0>, and pressing <img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + <img_tag=Enter_Icon:0> will set the preview to be 1:1 with the actua sprite size.",プレビューウィンドウの右上にあるのは<strong>ズーム操作部</strong>で、ボタンを押してプレビューの表示を拡大縮小できます。また、<img_tag=Zoom_Reset_Icon:0>ボタンをクリックするとプレビューを等倍表示にリセットでき、中央にフィットボタン<img_tag=Canvas_Fit_Icon:0>をクリックした場合は、スプライト全体が表示されるようエディタの画面をフィットさせます（必要に応じて拡大縮小されます）。ズーム倍率は<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらマウスホイール<img_tag=MMB_Icon:0>でも変更可能で、<img_tag=Control_Icon:1> / <img_tag=CMD_Icon:1> + <img_tag=Enter_Icon:0>で等倍にリセットすれば実際のサイズを確認できます。
Sprites.htm+html.body.p:219-3,"<span data-open-text=""true"">Preview</span><span data-close-text=""true"">Preview</span>","<span data-open-text=""true"">プレビュー</span><span data-close-text=""true"">プレビュー</span>"
Sprites.htm+html.body.div.p:221-5,"The sprite <strong>preview </strong>window shows the sprite as it will look in the game, and can be zoomed in or out by using the mouse wheel <img_tag=MMB_Icon:1>, and panned around using the middle mouse button <img_tag=MMB_Icon:2> and draggging, or alternatively use the combination <img_tag=Space_Icon:0> + <img_tag=LMB_Icon:4> and dragging. You can use the Frame controls (explained below) to change how the preview image is displayed too.",スプライトの<strong>プレビュー</strong>ウィンドウには、ゲーム内と同じようにスプライトが表示されます。マウスホイール<img_tag=MMB_Icon:1>でズーム倍率の変更、中央ボタン<img_tag=MMB_Icon:2>によるドラッグ、または<img_tag=Space_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:4>で画面の移動ができます。さらにフレーム操作部（以下を参照）からはプレビューの画像表示を変更できます。
Sprites.htm+html.body.div.p:223-5,"This window will also show a ""cross"" that marks the <strong>origin</strong> of the sprite (see the Sprite Origin section above for more details), and it can also show the <strong>collision mask</strong> if that option is being edited (see the Collision Mask section, above).",このウィンドウにはスプライトの<strong>原点</strong>を示す「十字マーク」が表示され（詳しくは上記のスプライトの原点を参照）、編集中であれば<strong>コリジョンマスク</strong>も表示されます（上記のコリジョンマスクを参照）。
Sprites.htm+html.body.p:227-3,"<span data-open-text=""true"">Playback Controls</span><span data-close-text=""true"">Playback Controls</span>","<span data-open-text=""true"">再生操作部</span><span data-close-text=""true"">再生操作部</span>"
Sprites.htm+html.body.div.p:229-5,"The <strong>Playback controls</strong> are for playing back in the preview window the animation of the frames, with the play button <img_tag=Sprite_Play_Icon:0> starting/stopping the animation and the Loop button <img_tag=Sprite_Loop_Icon:0> used to set whether the sprite loops <img_tag=Sprite_Loop_On_Icon:0> (goes back to frame 1 when the last frame is reached) or ping-pongs <img_tag=Sprite_Pingpong_Icon:0> (goes backwards through the frames when the last frame is reached).",<strong>再生</strong>操作部では、プレビューウィンドウを通してフレームのアニメーションを再生できます。再生ボタン<img_tag=Sprite_Play_Icon:0>を押すとアニメーションの開始 / 終了、ループボタン<img_tag=Sprite_Loop_Icon:0>を押すとスプライトをループ再生<img_tag=Sprite_Loop_On_Icon:0>させるか（最終フレームになったら1フレーム目に戻る）、ピンポン再生<img_tag=Sprite_Pingpong_Icon:0>させるか（最終フレームになったら逆方向に進む）を切り替えることができます。
Sprites.htm+html.body.div.p:231-5,"Note that the loop/ping-pong option <strong>will affect how the sprite is displayed in the game</strong>, so setting these options in the sprite will change the way it is shown when the game is compiled and run. However, this is not true for loop-points that can be set in the <strong>Frame View </strong>(see below for more information) - these are purely visible in the sprite editor and designed to help you test out your animations, but will have no effect on how the sprite animation is displayed in your games.",ループ/ピンポン再生の設定は<strong>ゲーム内でのスプライト表示には影響しません</strong>。よってコンパイル後のゲームを実行しても、この設定によってスプライトの表示が変化することはありません。これは<strong>フレームビュー</strong>（以下を参照）で設定できるループ地点も同じです。ループ地点はアニメーションを確認しやすくするための機能であり、スプライトエディタ以外には表示されず、ゲーム内のスプライトアニメーションには一切影響しません。
Sprites.htm+html.body.div.p:234-5,An additional part of the Frame Controls is the <strong>current frame</strong> display and input a bit further over on the left. The box shows the total number of frames of the sprite animation as well as the current frame being shown. You can change the current frame at any time by clicking on the input box and typing in the frame number you want to view.,フレーム操作部の反対側にあるのは<strong>現在のフレーム</strong>情報とその入力欄です。ここにはスプライトの合計フレーム数と、現在のフレーム番号が表示されます。入力欄をクリックして別のフレーム番号を入力すれば、現在のフレームを自由に切り替えることも可能です。
Sprites.htm+html.body.div.div:236-5,"<strong>IMPORTANT!</strong> Frames are shown numbered from 1 to <em>maxframe number</em>, however in your game code, frames will be numbered from 0 to <em>maxframe number - 1</em>.",<strong>注意！</strong>フレームは1から<em>最大フレーム数</em>の番号で表示されますが、コードで扱う場合は0から数えられ、<em>最大フレーム数 -1</em>で終わります。
Sprites.htm+html.body.p:238-3,"<span data-open-text=""true"">Frames</span><span data-close-text=""true"">Frames</span>","<span data-open-text=""true"">フレーム</span><span data-close-text=""true"">フレーム</span>"
Sprites.htm+html.body.div.p:240-5,"This part of the sprite editor shows each of the different <strong>frames </strong>that make up a single sprite set along a sequence timeline. You can click <img_tag=LMB_Icon:5> on any frame and drag it left or right to change the order in which they will be animated, and you can also double click <img_tag=LMB_Icon:6> on any frame to launch the <a href=""Image_Editor.htm"">Image Editor</a> and edit them. You can cut, copy and paste frames using the standard keyboard shortcuts or by using the right-mouse button <img_tag=RMB_Icon:3> menu options, and you can also select multiple frames to operate on using <img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2> + <img_tag=LMB_Icon:7>.","ここにはスプライトを構成する<strong>フレーム</strong>がタイムラインに沿って表示されます。フレームを左右にドラッグ<img_tag=LMB_Icon:5>するとアニメーション順を変更でき、ダブルクリック<img_tag=LMB_Icon:6>をすると<a href=""Image_Editor.htm"">イメージエディタ</a>を開いて編集できます。標準のキーボードショートカット、または右クリック<img_tag=RMB_Icon:3>メニューからフレームのコピー、貼り付けも可能で、<img_tag=Control_Icon:2> / <img_tag=CMD_Icon:2>を押しながらフレームをクリック<img_tag=LMB_Icon:7>すると複数選択もできます。"
Sprites.htm+html.body.div.p:242-5,The right mouse button menu has the following options:,右クリックメニューの選択項目は次のとおりです。
Sprites.htm+html.body.div.p.img[alt]:243-25,{IMG_TXT} RMB Frame View Menu,{IMG_TXT} フレームビューの右クリックメニュー
Sprites.htm+html.body.div.ul.li:245-7,<strong>Add Frame</strong> - Add a new frame to the animation at the end.,<strong>フレームを追加</strong> - アニメーションの末尾に新しいフレームを追加します。
Sprites.htm+html.body.div.ul.li:246-7,<strong>Insert Frame</strong> - Insert a new frame in the animation after the currently selected frame.,<strong>フレームを挿入</strong> - 選択フレームの後ろに新しいフレームを挿入します。
Sprites.htm+html.body.div.ul.li:247-7,"<strong>Cut </strong>/ <strong>Copy </strong>/ <strong>Paste </strong>- Cut, copy and paste one or more frames.",<strong>切り取り</strong>/ <strong>コピー</strong> / <strong>貼り付け</strong> - 1つ以上のフレームを切り取り・コピー・貼り付けします。
Sprites.htm+html.body.div.ul.li:248-7,<strong>Delete Selected Frames</strong> - Delete the currently selected frame or frames.,<strong>選択フレームを削除</strong> - 選択中のフレームをすべて削除します。
Sprites.htm+html.body.div.p:250-5,"Apart from the option given above to stretch a frame, you can also position the mouse on the edge of a frame and then when the cursor changes to a double arrow, simply click <img_tag=LMB_Icon:8> and drag to resize the frame so it takes more time:",上記の項目のほかに、フレームを引き伸ばすこともできます。このようにフレームの端にマウスカーソルを合わせ、矢印カーソルに変わってからドラッグ<img_tag=LMB_Icon:8>してフレームのサイズを変更します。
Sprites.htm+html.body.div.p.img[alt]:251-25,{IMG_TXT} Stretch a frame using the mouse,{IMG_TXT} フレームをマウスで引き伸ばす
Sprites.htm+html.body.div.p:251-5,"A stretched frame will take more time to be shown, just as if you'd duplicated the same frame multiple times.",引き伸ばしたフレームは同じフレームを複製した場合と同じく、より長く表示されます。
Sprites.htm+html.body.div.p:252-5,"Finallly, you can also zoom in on the frame timeline using the ""handles"" on either side of the frame view as shown in the image below:",最後に、フレームビューの両端にある「ハンドル」を操作すると、画像のようにフレームのタイムラインを拡大縮小できます。
Sprites.htm+html.body.div.p.img[alt]:253-25,{IMG_TXT} Sprite frame view zoom controls,{IMG_TXT} スプライトフレームビューのズーム操作部
Sprites.htm+html.body.div.div.div.div:260-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Sprites.htm+html.body.div.div.div.div:261-9,"Next: <a href=""Tile_Sets.htm"">Tile Sets</a>","次へ: <a href=""Tile_Sets.htm"">タイルセット</a>"
Sprites.htm+html.body.p:276-1,{SEARCH_RESULT} Page detailing how the sprite editor works,{SEARCH_RESULT} スプライトエディタの詳しい仕組みについてのページ
Sprites.htm+html.body.p:276-66,{INDEX_KEYWORD} Sprite Editor,{INDEX_KEYWORD} スプライトエディタ
Sprites.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Sprites.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Sprites.htm.img_tag+CMD_Icon:2,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Sprites.htm.img_tag+Canvas_Fit_Icon:0,{IMG_TXT} Canvas Fit Icon,{IMG_TXT} キャンバスにフィットアイコン
Sprites.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Sprites.htm.img_tag+Control_Icon:1,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Sprites.htm.img_tag+Control_Icon:2,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Sprites.htm.img_tag+Enter_Icon:0,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Sprites.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:1,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:2,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:3,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:4,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:5,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:6,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:7,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+LMB_Icon:8,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Sprites.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Sprites.htm.img_tag+MMB_Icon:1,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Sprites.htm.img_tag+MMB_Icon:2,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Sprites.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Sprites.htm.img_tag+RMB_Icon:1,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Sprites.htm.img_tag+RMB_Icon:2,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Sprites.htm.img_tag+RMB_Icon:3,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Sprites.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
Sprites.htm.img_tag+Sprite_Loop_Icon:0,{IMG_TXT} Sprite Loop Icon,{IMG_TXT} スプライトのループアイコン
Sprites.htm.img_tag+Sprite_Loop_On_Icon:0,{IMG_TXT} Sprite Loop On Icon,{IMG_TXT} スプライトのループ有効アイコン
Sprites.htm.img_tag+Sprite_Pingpong_Icon:0,{IMG_TXT} Sprite Pingpong Icon,{IMG_TXT} スプライトのピンポン有効アイコン
Sprites.htm.img_tag+Sprite_Play_Icon:0,{IMG_TXT} Sprite Play Icon,{IMG_TXT} スプライト再生アイコン
Sprites.htm.img_tag+Sprite_Size_Icon:0,{IMG_TXT} Sprite Size Icon,{IMG_TXT} スプライトサイズアイコン
Sprites.htm.img_tag+Zoom_Reset_Icon:0,{IMG_TXT} Zoom Reset Icon,{IMG_TXT} ズームリセットアイコン
