Sequences.htm+html.head.title:55-3,Sequences,シーケンス
Sequences.htm+html.body.div.p:188-5,"You can create a track by dragging an asset from the Asset Browser (either a sprite, an object, a sound or a sequence) into the sequence canvas, or you can click the <img alt=""{IMG_TXT} Add Track Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_AddAsset.png"" style=""width: 100%; max-width: 25px;"" /> icon at the bottom to add a new track and select the asset to use from the Asset Explorer window that opens. The new track will be created and the asset added at the current playhead position within the dope sheet timeline:","トラックを作成するには、アセットブラウザからアセット（スプライト、オブジェクト、サウンド、シーケンスのいずれか）をシーケンスキャンバスにドラッグしましょう。または一番下にある<img alt=""{IMG_TXT} Add Track Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_AddAsset.png"" style=""width: 100%; max-width: 25px;"" />アイコンをクリックするとアセットエクスプローラーが開きますので、そちらからアセットを選んで新しいトラックを作成することもできます。トラックが作成されると、以下のようにドープシートタイムラインの再生ヘッド位置にアセットが追加されます。"
Sequences.htm+html.body.div.p.img[alt]:189-25,{IMG_TXT} Add A New Asset Track,{IMG_TXT} 新しいトラックを追加
Sequences.htm+html.body.div.p:189-5,The track editor has many other features that are discussed in full detail on the following page:,トラックエディタにはこの他にも多くの機能があり、以下のページで詳しく説明されています。
Sequences.htm+html.body.div.ul.li:191-7,The Track Panel,トラックパネル
Sequences.htm+html.body.p:195-3,"<span data-open-text=""true"">Canvas Toolbox</span><span data-close-text=""true"">Canvas Toolbox</span>","<span data-open-text=""true"">キャンバスのツールボックス</span><span data-close-text=""true"">キャンバスのツールボックス</span>"
Sequences.htm+html.body.div.p:197-5,The Sequence Editor toolbox contains the different visualisation and setup options for the sequence being edited.,シーケンスエディタのツールボックスでは、表示の切り替えや、シーケンスの編集方法を設定できます。
Sequences.htm+html.body.div.ul.li:199-7,"<strong>Toggle Canvas Grid</strong> <img alt=""{IMG_TXT} Toggle Canvas Grid Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasGrid.png"" style=""width: 100%; max-width: 24px;"" />: This will toggle on/off the Sequence Editor canvas grid. This is a grid that GameMaker Studio 2 draws over the preview canvas to divide it into sections, and by default is set to 32x32px in size. However if you click the Grid Menu icon <img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" /> you will open the grid options:<br /> <img alt=""{IMG_TXT} Sequence Editor Grid Options"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_GridControls.png"" style=""width: 100%; max-width: 459px;"" />These options permit you to set the grid colour and alpha, as well as the cell values for the grid along the X and Y axis. You also have an option to enable or disable grid snapping here (disabled by default). You can use the keyboard shortcuts ""G"" and <img alt=""{IMG_TXT} Shift Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Shift.png"" style=""width: 100%; max-width: 55px;"" /> + ""G"" to toggle the grid visibility and grid snapping respectively.","<strong>キャンバスのグリッド表示切替</strong><img alt=""{IMG_TXT} Toggle Canvas Grid Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasGrid.png"" style=""width: 100%; max-width: 24px;"" />: シーケンスエディタのキャンバスに表示されるグリッドをオン/オフにします。このグリッドはプレビューキャンバスを分割するためにGameMaker Studio 2側で描画されるものであり、デフォルトのサイズは32 x 32ピクセルとなっています。グリッドのメニューアイコン<img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />をクリックすると次のオプションが開きます。<br /> <img alt=""{IMG_TXT} Sequence Editor Grid Options"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_GridControls.png"" style=""width: 100%; max-width: 459px;"" />オプションを設定することで、グリッドの色や透明度、X軸とY軸のセル幅を変更できます。また、グリッドのスナップを有効/無効にするオプションもあります（デフォルトでは無効）。グリッドの表示はキーボードショートカット ""G"" で、グリッドのスナップは<img alt=""{IMG_TXT} Shift Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Shift.png"" style=""width: 100%; max-width: 55px;"" /> + ""G""で切り替えることも可能です。"
Sequences.htm+html.body.div.ul.li:204-7,"<strong>Canvas Zoom Controls</strong> <img alt=""{IMG_TXT} Canvas Zoom Controls Icons"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasZoom.png"" style=""width: 100%; max-width: 120px;"" />: These buttons control the current canvas zoom level. You can zoom in or out and clicking the <img alt=""{IMG_TXT} Zoom Reset Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ZoomReset.png"" style=""width: 100%; max-width: 24px;"" /> button will reset the canvas to be 1:1 with the sequence being edited. You can also click the Window Fit button <img alt=""{IMG_TXT} Canvas Fit Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasFit.png"" style=""width: 100%; max-width: 24px;"" /> to make the entire sequence canvas fit within the current editor workspace (this will zoom in/out as appropriate to make it fit). Note that you can also zoom in and out using the <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> and the Mouse Wheel <img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />, and pressing <img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} Enter Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Enter.png"" style=""width: 100%; max-width: 55px;"" /> will set the canvas to be 1:1 with the display.","<strong>キャンバスのズーム操作</strong> <img alt=""{IMG_TXT} Canvas Zoom Controls Icons"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasZoom.png"" style=""width: 100%; max-width: 120px;"" />: 左のボタンからキャンバスのズーム倍率を変更できます。ズームイン、ズームアウトのほかに、<img alt=""{IMG_TXT} Zoom Reset Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ZoomReset.png"" style=""width: 100%; max-width: 24px;"" />ボタンをクリックすれば編集中のアセットが等倍になるようキャンバスをリセットできます。また、ウィンドウにフィットボタン<img alt=""{IMG_TXT} Canvas Fit Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasFit.png"" style=""width: 100%; max-width: 24px;"" />をクリックすると、キャンバス全体をエディタのワークスペース内に収めることができます（フィットするようズームイン/ズームアウトされます）。ズーム倍率は<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" />を押しながらマウスホイール<img alt=""{IMG_TXT} MMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_MMB.png"" style=""width: 100%; max-width: 21px;"" />でも変更可能です。また、<img alt=""{IMG_TXT} Control Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Ctrl.png"" style=""width: 100%; max-width: 55px;"" /> / <img alt=""{IMG_TXT} CMD Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Cmd.png"" style=""width: 100%; max-width: 55px;"" /> + <img alt=""{IMG_TXT} Enter Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_Enter.png"" style=""width: 100%; max-width: 55px;"" />でキャンバスを等倍表示にできます。"
Sequences.htm+html.body.div.ul.li:207-7,"<strong>Toggle Gizmos</strong> <img alt=""{IMG_TXT} Toggle Gizmos Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ToggleGizmos.png"" style=""width: 100%; max-width: 24px;"" />: Clicking this will enable or disable the different <a class=""tooltip"" title=""TITLE_KEY::gizmos"">gizmos</a> visible in the canvas. When enabled you will see all the gizmos associated with the different assets and the canvas itself, and when disabled these will not be shown, giving a clearer view of how the sequence looks. Note that this is enabled by default, and there is a menu available from the options button <img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" data-cke-saved-src=""../assets/Images/Icons/Icon_CanvasOptions.png"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" /> where you can filter what is visible without having to disable all the different widgets together. A complete list of these filter options and an explanation of what they do can be found <a href=""Sequence_Properties/The_Sequence_Canvas.htm"">here</a>.","<strong>ギズモ切替</strong> <img alt=""{IMG_TXT} Toggle Gizmos Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ToggleGizmos.png"" style=""width: 100%; max-width: 24px;"" />: クリックすると、キャンバスに表示される<a class=""tooltip"" title=""TITLE_KEY::gizmos"">ギズモ</a>を有効/無効にできます。有効にした場合、キャンバスと各アセットに対応するギズモが表示されます。無効にすると表示されなくなり、シーケンスをすっきり見通せるようになります。デフォルトでは有効となります。また、設定ボタン<img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" data-cke-saved-src=""../assets/Images/Icons/Icon_CanvasOptions.png"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />をクリックしてメニューを開くと、ウィジェットをすべて無効にすることなく個別にフィルター表示できます。フィルター設定の一覧および機能についての説明は<a href=""Sequence_Properties/The_Sequence_Canvas.htm"">こちら</a>を参照してください。"
Sequences.htm+html.body.div.ul.li:209-7,"T<strong>oggle Transform Gizmo Mode</strong> <img alt=""{IMG_TXT} Transform Gizmo Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_TransformWidget.png"" style=""width: 100%; max-width: 24px;"" />: Each asset added to a sequence has a transform gizmo at its origin:<br /> <img alt=""{IMG_TXT} The transform widget for an asset"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_TransformWidget.gif"" style=""width: 100%; max-width: 327px;"" />This gizmo can control how the asset is scaled or rotated, as well as control its position and the position of the origin of the asset, however it only shows one of these options at a time. Clicking this button will switch between the different widget types or you can click on the options menu <img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" /> to directly select the type of control action you want the transform gizmo to perform.","<strong>ギズモ変形モードの切替</strong> <img alt=""{IMG_TXT} Transform Gizmo Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_TransformWidget.png"" style=""width: 100%; max-width: 24px;"" />: シーケンスに追加されたアセットの原点には、このように変形ギズモが表示されます。<br /><img alt=""{IMG_TXT} The transform widget for an asset"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_TransformWidget.gif"" style=""width: 100%; max-width: 327px;"" />変形ギズモを操作することで、アセットのスケールや回転、位置や原点を設定できますが、同時に表示されるギズモは 1 種類のみです。ボタンをクリックするとギズモのウィジェットが切り替わり、設定メニュー<img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />をクリックすれば操作タイプを直接選択できます。"
Sequences.htm+html.body.div.ul.li:212-7,"<strong>Toggle Canvas Frame</strong> <img alt=""{IMG_TXT} Toggle Canvas Frame Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ToggleCanvas.png"" style=""width: 100%; max-width: 24px;"" />: This button can be used to toggle the canvas frame on or off (it is on by default). The canvas frame is simply a guide that is used to judge where elements are placed in sequence canvas and any elements outside of the frame will not be rendered. This button also has the following options menu <img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />:<br /> <img alt=""{IMG_TXT} Sequence Editor Canvas Options"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_CanvasControls.png"" style=""width: 100%; max-width: 360px;"" />Here you can set the canvas frame toggle as well as the size of the canvas. You also have the possibility of setting a <strong>reference image</strong>, which is an image that you select from your computer (it is not imported into the project) to be used as a background reference for the sequence. This image is only visible in the Sequence Editor itself and will not be rendered when the sequence is used in a project. If you add a reference image you can also set the opacity that it's drawn at and offset its position within the canvas frame.","<strong>キャンバスフレーム切替</strong> <img alt=""{IMG_TXT} Toggle Canvas Frame Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_ToggleCanvas.png"" style=""width: 100%; max-width: 24px;"" />: このボタンをクリックすると、キャンバスフレームのオン/オフを切り替えることができます（デフォルトではオン）。キャンバスフレームはシーケンスキャンバスのどこに要素が置かれているかを判断するためのガイドであり、フレームの外にある要素はレンダリングされません。このボタンには次のような設定メニュー<img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />があります。<br /><img alt=""{IMG_TXT} Sequence Editor Canvas Options"" class=""center"" src=""../assets/Images/Asset_Editors/Editor_Sequences_CanvasControls.png"" style=""width: 100%; max-width: 360px;"" />メニューからはキャンバスフレームの切り替え、キャンバスのサイズを設定できます。また、<strong>参考画像</strong>の設定も可能で、パソコンにある画像を選んでシーケンスの参考用背景にすることができます（プロジェクトにはインポートされません）。参考画像はシーケンスエディタ内でのみ表示され、プロジェクトで使用されるシーケンスにはレンダリングされません。この画像を追加すると、参考画像の透明度およびキャンバスフレームに対する位置オフセットを設定できるようになります。"
Sequences.htm+html.body.p:220-3,"<span data-open-text=""true"">Sequence Tools</span><span data-close-text=""true"">Sequence Tools</span>","<span data-open-text=""true"">シーケンスツール</span><span data-close-text=""true"">シーケンスツール</span>"
Sequences.htm+html.body.div.p:222-5,This bar has the various sequence playback controls:,以下のバーからシーケンスの再生を制御できます。
Sequences.htm+html.body.div.p.img[alt]:223-25,{IMG_TXT} Sequence Editor Playback Controls,{IMG_TXT} シーケンスエディタの再生制御
Sequences.htm+html.body.div.ul.li:225-7,<strong>Playback Speed</strong>: this is the playback speed of the sequence in frames (steps) per second.,<strong>再生速度</strong>: シーケンスの再生速度です。1秒ごとのフレーム（ステップ）数で表されます。
Sequences.htm+html.body.div.ul.li:226-7,"<strong>Playhead Position</strong>: this is the current playhead position, and can be shown in time (h:m:s) or frames (f).",<strong>再生ヘッド位置</strong>: 再生ヘッドの現在位置です。時間(h:m:s)またはフレーム (f) 単位で表示されます。
Sequences.htm+html.body.div.ul.li:227-7,"<strong>Time Display Options</strong>: here you can set whether to display the sequence times in hours, minutes and seconds (h:m:s) or frames (f).",<strong>時間の表示設定</strong>: シーケンスの時間単位を時間/分/秒 (h:m:s)で表示するかフレーム数 (f) で表示するかを設定できます。
Sequences.htm+html.body.div.ul.li:228-7,"<strong>Broadcast Message</strong>: Clicking this permits you to add a <strong>broadcast message</strong> at the current playhead position (this is explained in more detail <a href=""Sequence_Properties/Broadcast_Messages.htm"">here</a>).","<strong>ブロードキャストメッセージ</strong>: クリックすると、再生ヘッド位置に<strong>ブロードキャストメッセージ</strong>を追加します（詳しくは<a href=""Sequence_Properties/Broadcast_Messages.htm"">こちら</a>を参照）。"
Sequences.htm+html.body.div.ul.li:229-7,<strong>Add Moment</strong>: Clicking this permits you to add a sequence <strong>moment</strong> at the current playhead position (this is explained in more detail below).,<strong>モーメントを追加</strong>: クリックすると、再生ヘッド位置にシーケンス<strong>モーメント</strong>を追加します（下に詳細あり）。
Sequences.htm+html.body.div.ul.li:230-7,"<strong>Open Curve Editor</strong>: This button toggles the currently selected track between the <strong>curve view</strong> and the <strong>keyframe view</strong>. This option is only really applicable to <em>parameter</em> tracks and when enabled you will then have further options available to you depending on whether the parameter track uses keyframes or an <a href=""Animation_Curves.htm"">animation curve</a>. For more information, please see the section on the <a href=""Sequence_Properties/Using_Animation_Curves.htm"">Using Animation Curves</a>.","<strong>カーブエディタを開く</strong>: 選択トラックの<strong>カーブビュー</strong>と<strong>キーフレームビュー</strong>を切り替えるボタンです。<em>パラメーター</em>トラックにのみ適用できるオプションで、有効にするとパラメータートラックがキーフレームを使用しているか、<a href=""Animation_Curves.htm"">アニメーションカーブ</a>を使用しているかによって追加のオプションが表示されます。詳しくは<a href=""Sequence_Properties/Using_Animation_Curves.htm"">アニメーションカーブの使い方</a>セクションを参照してください。"
Sequences.htm+html.body.div.ul.li:232-7,"<strong>Playback Controls</strong>: with these buttons you can start and stop the sequence preview, as well as move the playhead to the start or the end. There is also a button to set whether the sequence should loop or not, and whether the sequence should ""ping-pong"" or repeat when looping. Note that this setting <em>will</em> affect how the sequence is played when the project is compiled and run.",<strong>再生制御</strong>: これらのボタンをクリックすると、シーケンスのプレビューを開始/停止したり、再生ヘッドを開始位置/終了位置まで移動できます。また、シーケンスをループ再生させるかどうか、「ピンポン」か繰り返しのどちらでループさせるかを設定可能です。ここでの設定は、プロジェクトをコンパイルして実行した際のシーケンス再生方法に<em>影響</em>するためご注意ください。
Sequences.htm+html.body.div.ul.li:234-7,<strong>Sequence Length</strong>: this displays the total possible length of the sequence in frames (f) or in time (m:h:s). Note that the sequence may not run to this length if you have set the clip region to be smaller.,<strong>シーケンス長</strong>: シーケンスの最大長がフレーム(f)または時間(m:h:s)単位で表示されます。クリップ領域がこれより狭く設定されている場合は、表示されている長さまで再生されません。
Sequences.htm+html.body.div.p:236-5,"As mentioned above, you can add <strong>Moments</strong> to a sequence. A sequence <strong>moment </strong>is a position on the timeline where the sequence can call a <strong>function</strong>. This is a <a href=""../GameMaker_Language/GML_Overview/Script_Functions.htm"">scripted function</a> that must have no parameters and when the moment (frame) on the timeline is reached, this function will be called. To set a moment, you simply move the playhead to the required position and then click the <strong>Add Moment</strong> button, and in the dialog that opens you give the name of the function to call.","上にあるように、シーケンスには<strong>モーメント</strong>を追加できます。シーケンスにおける<strong>モーメント</strong>とは、シーケンスが<strong>関数</strong>を呼び出すタイムライン上の位置のことです。この関数は引数をもたない<a href=""../GameMaker_Language/GML_Overview/Script_Functions.htm"">スクリプト関数</a>でなくてはならず、タイムラインがモーメント（フレーム）まで進んだタイミングで呼び出されます。モーメントを設定するには、再生ヘッドを目的の位置まで移動させてから<strong>モーメントを追加</strong>ボタンをクリックしてください。ダイアログが開きますので、呼び出したい関数の名前を入力しましょう。"
Sequences.htm+html.body.div.p.img[alt]:239-25,{IMG_TXT} Add A Moment To The Sequence,{IMG_TXT} シーケンスにモーメントを追加
Sequences.htm+html.body.div.p:239-5,"When adding a moment function, you can click the <img alt=""{IMG_TXT} Go To Function Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_GoTo_Function.png"" style=""width: 100%; max-width: 24px;"" /> button to go to the script with the specified function, or you can click the <img alt=""{IMG_TXT} New Moment Function Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_NewMomentFunction.png"" style=""width: 100%; max-width: 24px;"" /> button to create a new script resource with an empty function ready for editing. You can also remove moment and the function call it contains by clicking the <img alt=""{IMG_TXT} Remove Moment Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_RemoveMoment.png"" style=""width: 100%; max-width: 24px;"" /> button.","モーメントの関数が追加されている場合、<img alt=""{IMG_TXT} Go To Function Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_GoTo_Function.png"" style=""width: 100%; max-width: 24px;"" />ボタンをクリックすると指定された関数のスクリプトに移動できます。また、<img alt=""{IMG_TXT} New Moment Function Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_NewMomentFunction.png"" style=""width: 100%; max-width: 24px;"" />ボタンをクリックすることで新しいスクリプトリソースを空の関数で作成して編集できます。<img alt=""{IMG_TXT} Remove Moment Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_RemoveMoment.png"" style=""width: 100%; max-width: 24px;"" />ボタンをクリックした場合は、モーメントおよび関数の呼び出しを削除します。"
Sequences.htm+html.body.div.p:241-5,"Sequence moments can also be added and edited using code. For more information please see <a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">here</a>.","シーケンスのモーメントはコードからも編集・追加が可能です。詳しくは<a href=""../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">こちら</a>を参照してください。"
Sequences.htm+html.body.p:246-3,"<span data-open-text=""true"">Dopesheet</span><span data-close-text=""true"">Dopesheet</span>","<span data-open-text=""true"">ドープシート</span><span data-close-text=""true"">ドープシート</span>"
Sequences.htm+html.body.div.p:248-5,"The <strong>Dope Sheet</strong> is where all the <a class=""tooltip"" title=""TITLE_KEY::asset_key"">asset key</a> and <a class=""tooltip"" title=""TITLE_KEY::parameter_key"">parameter key</a><span class=""glossextra""></span> for each track are shown. You can click <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> and drag keys left or right to position them within the dope sheet timeline, and you can also click <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> on the right edge of an asset key to change its length. Note that for sprites and objects, setting the length to be longer than the animation will cause the animation to loop over the extra frames. The dope sheet also has controls for setting the start and end of the clip region for the sequence, and you can click <img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" /> anywhere to set the playhead to that position. For more information on how to use the dope sheet, please see the following page:","<strong>ドープシート</strong>は各トラックの<a class=""tooltip"" title=""TITLE_KEY::asset_key"">アセットキー</a>および<a class=""tooltip"" title=""TITLE_KEY::parameter_key"">パラメーターキー</a><span class=""glossextra""></span>を表示する領域です。キーを<img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />クリックして左右にドラッグするとドープシートタイムラインにおけるキー配置が変わり、アセットキーの右端をクリック<img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />すると長さを変更できます。スプライトやオブジェクトの場合、長さを実際のアニメーションよりも長く設定すると、余分なフレーム数アニメーションがループするため注意してください。ドープシートでは、シーケンスのクリップ領域の始点と終点を設定できます。また、任意の位置をクリック<img alt=""{IMG_TXT} LMB Icon"" class=""icon"" src=""../assets/Images/Icons/Icon_LMB.png"" style=""width: 100%; max-width: 21px;"" />すると再生ヘッドがその位置まで移動します。ドープシートの詳しい使い方については以下のページを参照してください。"
Sequences.htm+html.body.div.ul.li:252-7,Using The Dope Sheet,ドープシートの使い方
Sequences.htm+html.body.p:256-3,"<span data-open-text=""true"">Change Orientation</span><span data-close-text=""true"">Change Orientation</span>","<span data-open-text=""true"">向きを変更</span><span data-close-text=""true"">向きを変更</span>"
Sequences.htm+html.body.div.p:258-5,"The change orientation button <img data-cke-saved-src=""../assets/Images/Icons/Icon_ChangeOrientation.png"" src=""../assets/Images/Icons/Icon_ChangeOrientation.png"" class=""icon"" alt=""{IMG_TXT} Change Orientation Icon"" style=""width: 100%; max-width: 24px;"" /> can be used to change the way the Sequence Editor displays the different sections. By default you will have the Cnavas View at the top and the Track Editor and Dopesheet at the bottom, but this can be changed by clicking the button to cycle through the different layouts, or by clicking the Options button <img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" data-cke-saved-src=""../assets/Images/Icons/Icon_CanvasOptions.png"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" /> to open a menu and select the layout that you want. The following layouts are available:","向きを変更ボタン<img data-cke-saved-src=""../assets/Images/Icons/Icon_ChangeOrientation.png"" src=""../assets/Images/Icons/Icon_ChangeOrientation.png"" class=""icon"" alt=""{IMG_TXT} Change Orientation Icon"" style=""width: 100%; max-width: 24px;"" />をクリックすると、シーケンスエディタの各部分をどのように表示するか変更できます。デフォルトではキャンバスビューが上、トラックエディタとドープシートが下に配置されていますが、このボタンをクリックすると順番に異なるレイアウトへと切り替わります。また、設定ボタン<img alt=""{IMG_TXT} Icon Grid Menu"" class=""icon"" data-cke-saved-src=""../assets/Images/Icons/Icon_CanvasOptions.png"" src=""../assets/Images/Icons/Icon_CanvasOptions.png"" style=""width: 100%; max-width: 10px;"" />をクリックするとメニューが開き、レイアウトを直接指定することができます。利用できるレイアウトは次の通りです。"
Sequences.htm+html.body.div.table.tbody.tr.td.img[alt]:265-29,{IMG_TXT} Split Window Sequence Editor Button,{IMG_TXT} シーケンスエディタのウィンドウ分割ボタン
Sequences.htm+html.body.div.table.tbody.tr.td:266-11,Split Window,ウィンドウを分割
Sequences.htm+html.body.div.table.tbody.tr.td.p:268-13,"With this option the Sequence Editor will be split into two seperate windows, where the main IDE window will show the Canvas view in the full desktop and the new window will show the Dope Sheet and Track Editor. Clicking the button again will change the layout again and remove the extra window.",シーケンスエディタが2つのウィンドウに分かれます。IDEのメインウィンドウにはキャンバスビューが全体表示され、新しいウィンドウにはドープシートとトラックエディタが表示されます。ボタンをもう一度クリックするとレイアウトが切り替わり、新しいウィンドウが閉じられます。
Sequences.htm+html.body.div.table.tbody.tr.td.img[alt]:273-29,{IMG_TXT} Snap Top Sequence Editor Button,{IMG_TXT} シーケンスエディタを上にスナップボタン
Sequences.htm+html.body.div.table.tbody.tr.td:274-11,Snap Top,上にスナップ
Sequences.htm+html.body.div.table.tbody.tr.td.p:276-13,This option snaps the Track Editor and Dopesheet to the top of the IDE.,トラックエディタとドープシートがIDEの上側にスナップします。
Sequences.htm+html.body.div.table.tbody.tr.td.img[alt]:280-29,{IMG_TXT} Snap Right Sequence Editor Button,{IMG_TXT} シーケンスエディタを右にスナップボタン
Sequences.htm+html.body.div.table.tbody.tr.td:281-11,Snap Right,右にスナップ
Sequences.htm+html.body.div.table.tbody.tr.td.p:283-13,This option snaps the Track Editor and Dopesheet to the right of the IDE.,トラックエディタとドープシートがIDEの右側にスナップします。
Sequences.htm+html.body.div.table.tbody.tr.td.img[alt]:287-29,{IMG_TXT} Snap Bottom Sequence Editor Button,{IMG_TXT} シーケンスエディタを下にスナップボタン
Sequences.htm+html.body.div.table.tbody.tr.td:288-11,Snap Bottom,下にスナップ
Sequences.htm+html.body.div.table.tbody.tr.td.p:290-13,This option snaps the Track Editor and Dopesheet to the bottom of the IDE (this is the default view.,トラックエディタとドープシートがIDEの下側にスナップします（デフォルトのビュー表示）。
Sequences.htm+html.body.div.table.tbody.tr.td.img[alt]:294-29,{IMG_TXT} Snap Left Sequence Editor Button,{IMG_TXT} シーケンスエディタを左にスナップボタン
Sequences.htm+html.body.div.table.tbody.tr.td:295-11,Snap Left,左にスナップ
Sequences.htm+html.body.div.table.tbody.tr.td.p:297-13,This option snaps the Track Editor and Dopesheet to the left of the IDE.,トラックエディタとドープシートがIDEの左側にスナップします。
Sequences.htm+html.body.div.p:302-5,"You can also reset the Sequence Editor layout at any time by clicking the Reset option <img data-cke-saved-src=""../assets/Images/Icons/Icon_Seq_Reset.png"" src=""../assets/Images/Icons/Icon_Seq_Reset.png"" class=""icon"" alt=""{IMG_TXT} Reset Editor Layout Button"" style=""width: 100%; max-width: 24px;"" />. This will restore the editor to it's default state and re-open any sections that had been closed.","シーケンスエディタのレイアウトは、リセットボタン<img data-cke-saved-src=""../assets/Images/Icons/Icon_Seq_Reset.png"" src=""../assets/Images/Icons/Icon_Seq_Reset.png"" class=""icon"" alt=""{IMG_TXT} Reset Editor Layout Button"" style=""width: 100%; max-width: 24px;"" />をクリックすることでいつでも元に戻せます。レイアウトをリセットすると、エディタがデフォルトの状態に戻り、閉じられていた部分も開き直されます。"
