The_Track_Panel.htm+html.head.title:55-3,The Track Panel,トラックパネル
The_Track_Panel.htm+html.body.div.p:238-5,"Each event can be assigned a single function which will be called when the event is triggered. You can assign the function using the input box for the vent, and clicking the arrow button will open the script editor for the function to be edited. You can also click the Create New button at the bottom to create a new script resource with ""boilerplate"" functions already defined and ready to be filled in. Note that you can change the function names to anything you require and do not have to use the predefined names, and you can also remove any function definitions that you don't need. It is important note that functions used for sequence events cannot take any arguments.",各イベントには、イベントの作動時に呼び出す関数を1つ割り当てることができます。関数の割り当てはイベントの入力ボックスから行ない、矢印ボタンをクリックするとスクリプトエディタを開いて関数を編集することもできます。また、一番下にある新規作成ボタンをクリックすると「定型」関数入りのスクリプトリソースが作成され、すべてのイベントに割り当てられます。関数の名前は自由に変更できますが、すでに定義されている名前は使用しないようにしてください。不要となった関数は定義を削除するといいでしょう。なお、シーケンスイベントで使用される関数は引数を受け取らないため注意してください。
The_Track_Panel.htm+html.body.div.p:241-5,"Sequence events can also be added and edited using code. For more information please see <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">here</a>.","シーケンスイベントはコードから追加・編集することも可能です。詳しくは<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sequences/Sequence_Events_Moments_Broadcast.htm"">こちら</a>を参照してください。"
The_Track_Panel.htm+html.body.p:244-3,"<span data-open-text=""true"">Keyframe Controls</span><span data-close-text=""true"">Keyframe Controls</span>","<span data-open-text=""true"">キーフレーム操作部</span><span data-close-text=""true"">キーフレーム操作部</span>"
The_Track_Panel.htm+html.body.div.p:246-5,"The keyframe control buttons are one of the ways that you can add, remove or edit specific keys in the dope sheet. The buttons are as follows:",キーフレーム制御ボタンはドープシートにおける特定のキーを追加・削除・編集できるボタン群です。以下がその一覧となります。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:248-28,{IMG_TXT} Split Keys Icon,{IMG_TXT} 分割キーのアイコン
The_Track_Panel.htm+html.body.div.ul.li:248-7,"- This is the ""Split selected keys"" button. When you have selected one or more parameter keys in the dope sheet, you can then click this button and they will be split into two separate keys at the timeline playhead position:",このボタンは「選択キー分割」ボタンです。ドープシートのパラメーターキーを1つ以上選択している状態でこのボタンをクリックすると、タイムラインの再生ヘッド位置でキーを2つに分割します。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:250-9,{IMG_TXT} Split Asset and Parameter Keys,{IMG_TXT} アセットとパラメーターキーの分割
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:251-28,{IMG_TXT} Delete Keys Icon,{IMG_TXT} 削除キーのアイコン
The_Track_Panel.htm+html.body.div.ul.li:251-7,"- This is the ""Delete selected keys"" button. When you have selected one or more parameter keys in the dope sheet, you can then click this button and they will be deleted:",- このボタンは「選択キー削除」ボタンです。ドープシートのキーを 1 つ以上選択した状態でこのボタンをクリックすると、選択中のキーを削除します。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:253-9,{IMG_TXT} Delete Parameter Keys,{IMG_TXT} パラメーターキーを削除
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:254-28,{IMG_TXT} Add Keys Icon,{IMG_TXT} 追加キーのアイコン
The_Track_Panel.htm+html.body.div.ul.li:254-7,"- This is the ""Record a new key"" button. When you have selected an asset key in the dope sheet and press this button, new parameter keys will be added to the asset track as parameter tracks, and the parameter keys will be added as points in the dope sheet timeline at the playhead position:",- このボタンは「キーの新規記録」ボタンです。ドープシートのアセットキーを選択した状態でこのボタンをクリックすると、アセットトラックのパラメータートラックに新しいパラメーターキーを作成し、タイムラインの再生ヘッド位置にパラメーターキーのポイントが追加されます。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:256-9,{IMG_TXT} Add Parameter Keys At Playhead Position,{IMG_TXT} 再生ヘッド位置にパラメーターキーを追加
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:257-28,{IMG_TXT} Record Keys Icon,{IMG_TXT} 記録キーのアイコン
The_Track_Panel.htm+html.body.div.ul.li:257-7,"- This is the ""Automatically Record Changes"" button. When this is enabled, any changes made to the asset within the canvas will be automatically recorded and the appropriate parameter tracks and parameter keys added at the playhead position in the dope sheet. For example, if you move the playhead from frame 0 to frame 10 and then in the canvas move the asset 100 pixels to the right, a parameter track will be added for position, and the parameter keys will be added at frame 0 (the initial position) and at frame 10 (the playhead position) and when you press ""Play"" on the sequence, the asset will move 100px to the right over ten frames.",- このボタンは「変更の自動記録」ボタンです。このボタンが押されているとキャンバス上のアセットに加えた変更が自動記録されるようになり、ドープシートの再生ヘッド位置に適切なパラメータートラックおよびパラメーターキーを追加します。たとえば、再生ヘッドを 0 フレーム目から 10 フレーム目に動かしてからキャンバス上のアセットを 100 ピクセル右に移動させると、パラメーターキーが 0 フレーム目（初期位置）と 10 フレーム目（再生ヘッド位置）に追加されます。この状態でシーケンスの「再生」ボタンを押すと、10 フレームかけてアセットが 100 ピクセル右に移動します。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:262-9,{IMG_TXT} Automatically Record Parameter Keys,{IMG_TXT} パラメーターキーの自動記録
The_Track_Panel.htm+html.body.p:265-3,"<span data-open-text=""true"">Visible / Lock Toggles</span><span data-close-text=""true"">Visible / Lock Toggles</span>","<span data-open-text=""true"">表示 / ロックの切り替え</span><span data-close-text=""true"">表示 / ロックの切り替え</span>"
The_Track_Panel.htm+html.body.div.p:267-5,"Both asset tracks and parameter tracks have a button to toggle track visibility <img_tag=Track_Visibility_Icon:0> and to lock the track <img_tag=Track_Lock_Icon:0>. If you disable the visibility of the track, then it will not be shown when the sequence is run in a room, nor will it be shown in the sequence canvas while testing, and toggling the visibility of an asset track will also toggle the visibility of its parameter tracks. Locking a track simply means that this track will no longer be able to be edited in any way. Note that tracks that are invisible will be drawn faded on the dope sheet, while tracks that are locked will be drawn with an overlay, so you can immediately see what state each track is in:",アセットトラックとパラメータートラックのどちらにもトラックの表示<img_tag=Track_Visibility_Icon:0>とロック<img_tag=Track_Lock_Icon:0>を切り替えるボタンがあります。トラックの表示を無効にすると、ルームでシーケンスを再生する場合も、シーケンスキャンバスで再生テストをする場合もそのトラックが表示されなくなります。また、アセットトラックの表示を切り替えるとパラメータートラックの表示も切り替わります。トラックのロックは余計な編集を防ぐためだけの機能です。なお以下のように、非表示にしたトラックはドープシートに透過して表示され、ロックしたトラックにはオーバーレイが重なって表示されるため、トラックの状態をぱっと見るだけで確認できます。
The_Track_Panel.htm+html.body.div.p.img[alt]:270-25,{IMG_TXT} Locked And Invisible Tracks In The Dope Sheet,{IMG_TXT} ドープシートのロック中および非表示トラック
The_Track_Panel.htm+html.body.p:272-3,"<span data-open-text=""true"">Track Colour</span><span data-close-text=""true"">Track Colour</span>","<span data-open-text=""true"">トラックの色</span><span data-close-text=""true"">トラックの色</span>"
The_Track_Panel.htm+html.body.div.p:274-5,"Each asset track you create will be assigned a random colour by the IDE to make it easier to identify on the Dope Sheet. This colour can be changed at any time by simply clicking the colour bar for the track and then selecting the colour you want to use from the Colour Picker window that opens. Any colour selected for an asset track will automatically be applied to all the parameter tracks associated, however you can then edit the colour of each parameter track individually so it is different if required. Note that if you then change the asset track colour again, this will override any changes made to the parameter tracks.",作成されたアセットトラックには、ドープシート上での見分けがつくようにIDEからランダムな色が割り当てられます。この色は自由に変更でき、トラックのカラーバーをクリックして開けるカラーピッカーから好きな色を選択できます。選択した色はアセットトラックの関連パラメータートラックにも自動で適用されますが、パラメータートラックの色は個別に変えることもできます。アセットトラックの色を再変更した場合は、パラメータートラックの色も上書きされるためご注意ください。
The_Track_Panel.htm+html.body.p:279-3,"<span data-open-text=""true"">Adding Parameter Tracks</span><span data-close-text=""true"">Adding Parameter Tracks</span>","<span data-open-text=""true"">パラメータートラックの追加</span><span data-close-text=""true"">パラメータートラックの追加</span>"
The_Track_Panel.htm+html.body.div.p:281-5,"The Add Parameter <img_tag=Add_Parameter_Track_Icon:0> button can be used to add a single parameter track to the selected asset track. As mentioned earlier on this page, parameter tracks can be of various different types depending on the asset that it is related to. Below is a list of all the different parameter tracks available and what they refer to, as well as the assets that they can be applied to:",パラメーター追加<img_tag=Add_Parameter_Track_Icon:0>ボタンをクリックすると、選択中のアセットトラックに1つのパラメータートラックを追加できます。このページの冒頭で説明したように、パラメータートラックにはアセットとの関係に応じてさまざまな種類があります。以下は使用可能なすべてのパラメータートラックの一覧です。どのアセットに関係しているのか、どのアセットに適用されるのかも記載されています。
The_Track_Panel.htm+html.body.div.ul.li:284-7,"<strong>Position</strong>: This parameter track can be added to any of the four sequence asset types (<em>sprites</em>, <em>objects</em>, <em>sounds </em>or <em>sequences</em>) and is used to set the spacial position within the sequence for the asset. It takes an X and a Y value.",<strong>位置</strong>: 4つのシーケンスタイプ（<em>スプライト</em>、<em>オブジェクト</em>、<em>サウンド</em>、<em>シーケンス</em>）のすべてに追加できるパラメータートラックで、シーケンス内アセットの空間位置を設定します。XとYの値を必要とします。
The_Track_Panel.htm+html.body.div.ul.li:286-7,"<strong>Rotation</strong>: Like the position parameter, the rotation parameter is available for <em>all </em>sequence assets and can be used to set the rotation in degrees for the asset. Keep in mind that GameMaker Studio 2 calculates rotation <em>anti-clockwise</em>, starting with 0° on the right, so 90° is up, 180° is left and 270° is down.",<strong>回転</strong>: 位置パラメーターと同じく、回転パラメーターは<em>すべて</em>のシーケンスアセットで使用でき、アセットの回転を角度で指定します。GameMaker Studio 2では<em>反時計回り</em>で回転が計算されるため、0°が右、90°が上、180°が左、270°が下となることに留意してください。
The_Track_Panel.htm+html.body.div.ul.li:288-7,"<strong>Origin</strong>: The origin parameter is available for <em>sprite</em>, <em>object </em>and <em>sequence </em>assets and can be used to set the X and Y position of the origin of the asset. Changing the origin will affect how the asset is positioned, rotated and scaled.",<strong>原点</strong>: 原点パラメーターは<em>スプライト</em>、<em>オブジェクト</em>、<em>シーケンス</em>アセットで使用でき、アセットの原点のXとY位置を設定します。原点に変更を加えると、アセットの位置、回転、スケールがどう適用されるかに影響します。
The_Track_Panel.htm+html.body.div.ul.li:290-7,"<strong>Scale</strong>: The scale parameter is available for <em>sprite</em>, <em>object </em>and <em>sequence </em>assets and is used to set the horizontal and vertical scale of the asset. This will affect how the asset is rendered in the IDE and at runtime, and is calculated as a scalar value, where 100% is the default asset size, 50% would be half size, and 200% would be double the size. Note that you have the possibility of linking the horizontal and vertical scale values by clicking the ""link"" <img_tag=Track_Link_Icon:0> button. This means that changing one value will automatically change the other too.",<strong>スケール</strong>: スケールパラメーターは<em>スプライト</em>、<em>オブジェクト</em>、<em>シーケンス</em>アセットで使用でき、アセットの水平・垂直スケールを設定します。このパラメーターはIDEおよび実行時におけるアセットの表示を変化させます。スカラー値で計算され、100%にするとアセットのデフォルトサイズに、50%にすると半分のサイズに、200%にすると倍のサイズになります。水平・垂直のスケール値は「リンク」<img_tag=Track_Link_Icon:0>ボタンをクリックして連動させることができ、片方の値を変更したときにもう片方の値も自動で変更されるようになります。
The_Track_Panel.htm+html.body.div.ul.li:293-7,"<strong>Image Index</strong> and <strong>Image Speed</strong>: These parameters are only available for <em>sprite </em>and <em>object </em>assets and can be used to change the current animation frame (see the page on the <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_index.htm"">image_index</a> for more information) as well as the current animation speed, which is set using FPS and works the same way as the value you set for the sprite being used in the sprite editor.","<strong>画像のインデックス</strong>, <strong>画像の速度</strong>: <em>スプライト</em>と<em>オブジェクト</em>アセットでのみ使用可能なパラメーターで、現在のアニメーションフレーム（詳しくは<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_index.htm"">image_index</a>のページを参照）およびアニメーション速度を変更します。アニメーション速度はFPSから決められ、スプライトエディタでスプライトの値を設定するときと同じように設定できます。"
The_Track_Panel.htm+html.body.div.ul.li:295-7,"<strong>Colour Multiply</strong>: This parameter is only available for <em>sprite </em>and <em>object </em>assets and can be used to change the current blend colour for the sprite being drawn. This is the equivalent of setting the <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_blend.htm"">image_blend</a> value and any colours set here will be ""multiplied"" (ie, blended) with the colour of the sprite, and a value of white (#ffffffff) indicates that no blending should take place. Note that when working with this type of track, you can set the colour by manually typing in the hex value, or you can click the colour swatch to open the GameMaker Studio 2 Colour Picker. Note that colours are given in <a class=""tooltip"" title=""TITLE_KEY::ARGB"">ARGB</a> format, so you can set a value for alpha using this kind of parameter track (the Colour Picker also permits you to set the alpha value). This would be the equivalent of setting the <a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_alpha.htm"">image_alpha</a> for the sprite.","<strong>カラー乗算</strong>: <em>スプライト</em>と<em>オブジェクト</em>アセットで使用可能なパラメーターで、スプライト描画時のブレンドカラーを変更します。<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_blend.htm"">image_blend</a>の値を設定することと同一であり、設定した色がスプライトの色に「乗算」（もといブレンド）されます。値が白色（#ffffffff）であれば、ブレンドが行われないことになります。このタイプのトラックを扱うときは、16進数の値を直接入力する、またはGameMaker Studio 2のカラーピッカーから色見本をクリックして色を設定できます。また、この色は<a class=""tooltip"" title=""TITLE_KEY::ARGB"">ARGB</a>形式で指定されるため、こうしたパラメータートラックを利用してアルファ値を設定することができます（カラーピッカーでもアルファ値を設定可能です）。これはスプライトの<a href=""../../GameMaker_Language/GML_Reference/Asset_Management/Sprites/Sprite_Instance_Variables/image_alpha.htm"">image_alpha</a>を設定することと同一です。"
The_Track_Panel.htm+html.body.div.ul.li:300-7,"<strong>Volume</strong>: The volume parameter only applies to <em>sound </em>asset tracks and can be used to set the gain of the sound (the actual sound asset gain won't be changed, as it's essentially an emitter that is used for the asset track in sequences). The volume value is calculated as a percentage, where 0% is no volume and 100% is full volume.",<strong>音量</strong>: 音量パラメーターは<em>サウンド</em>アセットトラックでのみ使用可能なパラメーターで、サウンドのゲインを設定します（実際にはサウンドアセットのゲインではなく、シーケンスのアセットトラックが利用するエミッタのゲインを変更することになります）。ボリュームの値はパーセントで計算され、0%で無音、100%で最大音量となります。
The_Track_Panel.htm+html.body.div.ul.li:302-7,"<strong>Pitch</strong>: The pitch parameter only applies to <em>sound </em>asset tracks and can be used to set the pitch of the sound (as with volume, the actual sound asset gain won't be changed, as it's essentially an emitter that is used for the asset track in sequences). The pitch value is calculated as a percentage, 100% is the ""natural"" pitch of the sound, and less than 100% will lower it while greater than 100% will raise it.",<strong>ピッチ</strong>: ピッチパラメーターは<em>サウンド</em>アセットトラックでのみ使用可能なパラメーターで、サウンドのピッチを設定します（音量と同じようにサウンドアセットのピッチではなく、シーケンスのアセットトラックが利用するエミッタのピッチを変更することになります）。ピッチの値はパーセントで計算され、100%にすると「本来」のピッチとなり、100%より少さくするとピッチが低く、100%より大きくするとピッチが高くなります。
The_Track_Panel.htm+html.body.div.ul.li:304-7,<strong>Falloff</strong>: The falloff parameter only applies to <em>sound </em>asset tracks and is currently not implemented.,<strong>減衰</strong>: 減衰パラメーターは<em>サウンド</em>アセットトラックでのみ使用可能なパラメーターです。現時点では未実装となります。
The_Track_Panel.htm+html.body.p:308-3,"<span data-open-text=""true"">Track Actions</span><span data-close-text=""true"">Track Actions</span>","<span data-open-text=""true"">トラックアクション</span><span data-close-text=""true"">トラックアクション</span>"
The_Track_Panel.htm+html.body.div.p:310-5,The buttons at the bottom of the track editor are the different track actions and can be used for the following purposes:,トラックエディタの下にはトラックアクションを実行するボタンがあり、次のように分かれています。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:312-28,{IMG_TXT} Add Track Icon,{IMG_TXT} トラックを追加アイコン
The_Track_Panel.htm+html.body.div.ul.li:312-7,- This button will open the Asset Explorer for you to pick an asset to use as a new track. Once selected the asset track will be created and frames added into the Dope Sheet at the current playhead position.,- このボタンをクリックすると、アセットエクスプローラーからアセットを選択して新しいトラックとします。選択されたアセットからアセットトラックが作成され、ドープシートの再生ヘッド位置にフレームが追加されます。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:314-28,{IMG_TXT} Duplicate Asset Icon,{IMG_TXT} アセットの複製アイコン
The_Track_Panel.htm+html.body.div.ul.li:314-7,"- When you have selected one or more asset tracks in the track editor, clicking this button will duplicate them (along with any parameter tracks they may contain).",- トラックエディタのアセットトラックを1つ以上選択してからこのボタンをクリックすると、選択中のアセットトラックを複製します（中にあるパラメータートラックも複製されます）。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:317-28,{IMG_TXT} Clip Mask Icon,{IMG_TXT} クリップマスクのアイコン
The_Track_Panel.htm+html.body.div.ul.li:317-7,"- Clicking this will create a special <strong>clipping mask group</strong> where you can give sprites to use as masks and sprites to be masked. See <a href=""Clipping_Masks.htm"">here</a> for more information.","- このボタンをクリックすると、<strong>クリッピングマスクグループ</strong>が作成されます。このグループは特殊なグループであり、マスクにするスプライトとマスクで隠すスプライトを指定します。詳しくは<a href=""Clipping_Masks.htm"">こちら</a>を参照してください。"
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:318-28,{IMG_TXT} Group Folder Icon,{IMG_TXT} グループフォルダのアイコン
The_Track_Panel.htm+html.body.div.ul.li:318-7,"- Clicking this will add a new group folder to the track editor, which can then be used to better organise tracks. You can add a track t a group by dragging the track onto the group folder and you can remove it again by dragging it out of the folder. Note that any asset that is added to a group folder will automatically be assigned the folder colour, although you can then edit the track colour for individual tracks so that it is different if required.",- このボタンをクリックすると、トラックエディタに新しいグループフォルダが作成されます。このフォルダはトラックを整理するためのもので、ドラッグして入れたトラックはグループに追加されます。もう一度外にドラッグすればグループからの削除も可能です。グループフォルダにアセットを追加すると、自動的にフォルダの色が割り当てられるためご注意ください。なお、必要に応じてトラックごとに色を変更できます。
The_Track_Panel.htm+html.body.div.ul.li.img[alt]:321-28,{IMG_TXT} Track Delete Icon,{IMG_TXT} トラック削除アイコン
The_Track_Panel.htm+html.body.div.ul.li:321-7,"- As you might expect, clicking this will delete the selected track(s). If this is an asset track, then all parameter tracks it contains will also be deleted, although you can use it on selected parameter tracks to delete them on their own without removing the asset tracks they are associated with. If you use this on an empty group folder then the folder will be deleted, however if there are any tracks in the folder you will be shown a warning, as deleting a folder will remove all tracks that are inside of it too.",- 見てのとおり、選択中のトラックを削除するボタンです。アセットトラックを選択した場合、そのトラック内のパラメータートラックもすべて削除されますが、パラメータートラックは個別に選択することでアセットトラックごと消さずに削除可能です。空のグループフォルダを選択した場合、そのフォルダを削除します。ただしフォルダに1つでもアセットが含まれていると警告が表示され、そのまま削除すると中にあるアセットもすべて削除されます。
The_Track_Panel.htm+html.body.p:328-3,"There are two further pages with information relating to tracks and parameters that are also of interest, the first is about using <a href=""../Animation_Curves.htm"">Animation Curve</a> assets to generate parameter tracks, and the second outlines how to create <strong>Clipping Masks</strong>:","トラックとパラメーターに関しては、ほかの2つのページにも注目するべき情報があります。1つは<a href=""../Animation_Curves.htm"">アニメーションカーブ</a>によるパラメータートラック生成について、もう1つは<strong>クリッピングマスク</strong>の作り方についてのページです。"
The_Track_Panel.htm+html.body.ul.li:331-5,Using Animation Curves,アニメーションカーブの使い方
The_Track_Panel.htm+html.body.ul.li:332-5,Clipping Masks,クリッピングマスク
The_Track_Panel.htm+html.body.div.div.div.div:340-9,"Back: <a href=""../Sequences.htm"">Sequences</a>","戻る: <a href=""../Sequences.htm"">シーケンス</a>"
The_Track_Panel.htm+html.body.div.div.div.div:341-9,"Next: <a href=""Clipping_Masks.htm"">Clipping Masks</a>","次へ: <a href=""Clipping_Masks.htm"">クリッピングマスク</a>"
The_Track_Panel.htm+html.body.p:354-1,{SEARCH_RESULT} Page detailing the sequence canvas,{SEARCH_RESULT} シーケンスキャンバスの詳細ページ
The_Track_Panel.htm+html.body.p:354-58,{INDEX_KEYWORD} Sequences - The Track Panel,{INDEX_KEYWORD} シーケンス - トラックパネル
The_Track_Panel.htm.img_tag+Add_Event_Icon:0,{IMG_TXT} Add Event Icon,{IMG_TXT} イベントを追加アイコン
The_Track_Panel.htm.img_tag+Add_Keys_Icon:0,{IMG_TXT} Add Keys Icon,{IMG_TXT} キーを追加アイコン
The_Track_Panel.htm.img_tag+Add_Parameter_Track_Button:0,{IMG_TXT} Add Parameter Track Button,{IMG_TXT} パタメータートラック追加ボタン
The_Track_Panel.htm.img_tag+Add_Parameter_Track_Icon:0,{IMG_TXT} Add Parameter Track Icon,{IMG_TXT} パラメータートラックを追加アイコン
The_Track_Panel.htm.img_tag+Add_Track_Icon:0,{IMG_TXT} Add Track Icon,{IMG_TXT} トラックを追加アイコン
The_Track_Panel.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
The_Track_Panel.htm.img_tag+CONTROL_Icon:0,{IMG_TXT} CONTROL Icon,{IMG_TXT} CTRLアイコン
The_Track_Panel.htm.img_tag+Change_Orientation_Icon:0,{IMG_TXT} Change Orientation Icon,{IMG_TXT} 向きを変更アイコン
The_Track_Panel.htm.img_tag+Delete_Keys_Icon:0,{IMG_TXT} Delete Keys Icon,{IMG_TXT} 削除キーのアイコン
The_Track_Panel.htm.img_tag+Icon_Grid_Menu:0,{IMG_TXT} Icon Grid Menu,{IMG_TXT} グリッドメニューのアイコン
The_Track_Panel.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
The_Track_Panel.htm.img_tag+Parent_And_Child_Sprites_Share_Parameters:0,{IMG_TXT} Parent And Child Sprites Share Parameters,{IMG_TXT} 親と子スプライトのパラメーター共有
The_Track_Panel.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
The_Track_Panel.htm.img_tag+Record_Changes_Icon:0,{IMG_TXT} Record Changes Icon,{IMG_TXT} 変更を記録アイコン
The_Track_Panel.htm.img_tag+Reset_Editor_Layout_Button:0,{IMG_TXT} Reset Editor Layout Button,{IMG_TXT} エディタのレイアウトリセットボタン
The_Track_Panel.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
The_Track_Panel.htm.img_tag+Track_Link_Icon:0,{IMG_TXT} Track Link Icon,{IMG_TXT} トラックのリンクアイコン
The_Track_Panel.htm.img_tag+Track_Lock_Icon:0,{IMG_TXT} Track Lock Icon,{IMG_TXT} トラックのロックアイコン
The_Track_Panel.htm.img_tag+Track_Visibility_Icon:0,{IMG_TXT} Track Visibility Icon,{IMG_TXT} トラックの可視状態アイコン
