Layer_Properties.htm+html.head.title:55-3,Layer Properties,レイヤープロパティ
Layer_Properties.htm+html.body.div.table.tbody.tr.td:195-11,"This is the selection tool, which can be used to define an area of the tile layer for working on. You can click the left mouse button <img_tag=LMB_Icon:0> and then drag the mouse to create a rectangular area, or you can press <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> to add multiple selections and <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0> to clear a part of the selection. To clear the whole selection you can press <img_tag=Escape_Icon:0>. When you have an area of a tile layer selected, the rest of the tools (Pencil, Flip, Rotate, etc...) will only work within the selected area. Note that you can also copy (<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>+ ""<span class=""inline"">C</span>""), cut (<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">X</span>"") and paste (<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + "" <font face=""Lucida Console""><span style=""font-size: 16px;""><b>V</b></span></font>"") selected tiles within the room editor which will then switch the tool to the Pencil and permit you to paint the room layer with the selected tiles.","選択ツールを使うと、タイルレイヤーの編集範囲を決めることができます。左クリックをしてドラッグ<img_tag=LMB_Icon:0>すると長方形の範囲を選択でき、さらに<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>で選択範囲を追加、<img_tag=Alt_Icon:0>を押しながらドラッグ<img_tag=LMB_Icon:0>で削除できます。すべて解除したくなったら<img_tag=Escape_Icon:0>を押してください。タイルレイヤーに選択範囲がある場合、ほかのツール（鉛筆、反転、回転など）はその範囲内でのみ扱うことができます。また、ルームエディタで選択されているタイルはコピー（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>+ ""<span class=""inline"">C</span>""）、切り取り（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + ""<span class=""inline"">X</span>""）、貼り付け（<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + "" <font face=""Lucida Console""><span style=""font-size: 16px;""><b>V</b></span></font>""）も可能で、この場合は鉛筆ツールに切り替わり、選択したタイルで描き始めることができます。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:200-29,{IMG_TXT} Autotile Tool Icon,{IMG_TXT} オートタイルツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:201-11,AutoTile,オートタイル
Layer_Properties.htm+html.body.div.table.tbody.tr.td:202-11,"Clicking this tool enables the Auto tiling paint style. When this is active you can select any tile from the Autotile Libraries tab, and then paint it into the room layer and GameMaker Studio 2 will automatically change it to match the surrounding tiles, as long as you have correctly set up the <a href=""../Tile_Set_Editors/Auto_Tiles.htm"">Auto Tile Tab</a>. Note that selecting a tile from the tile set that is not part of the autotile libraries will reset the drawing tool to the standard Pencil tool.","クリックするとオートタイルが有効となります。有効にするとオートタイルライブラリのタイルが選択可能となり、レイヤーにタイルを描いたとき、外周部分のタイルを自動で補正してくれるようになります（ただし<a href=""../Tile_Set_Editors/Auto_Tiles.htm"">オートタイル</a>タブで正しく設定されている場合に限ります）。なお、タイルセットからタイルを選んでもオートタイルライブラリに加えることはできず、標準の鉛筆ツールに戻されます。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:207-29,{IMG_TXT} Inherit Tool Icon,{IMG_TXT} 継承ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:208-11,Inheritance,継承関係
Layer_Properties.htm+html.body.div.table.tbody.tr.td:209-11,"With this tool you can enable/disable <a href=""Room_Inheritance.htm"">inheritance</a> for specific tiles on a given layer. For this to work, the room must first be a child room and the layer must have it's inheritance switched <em>on </em>in the layer properties. When in this state, the room editor will colour all inherited tiles red by default, and clicking the right mouse button <img_tag=RMB_Icon:0> will switch off inheritance for that tile, and clicking the left mouse button <img_tag=LMB_Icon:0> will switch it back on again. In this way you can re-use elements from ""base"" rooms, only selectively changing the tiles that you require while inheriting all the rest.","レイヤーに置かれたタイルの<a href=""Room_Inheritance.htm"">継承関係</a>を切り替えることができるツールです。このツールを使うには、開いているルームが子ルームであり、レイヤープロパティからレイヤーの継承を<em>オン</em>に切り替えなくてはなりません。この状態では、継承されたタイルがすべて赤く表示され、タイルを右クリック<img_tag=RMB_Icon:0>して継承を無効、左クリック<img_tag=LMB_Icon:0>して有効にすることができます。こうすれば元のルームにあるものをそのまま利用しつつも、一部のタイルだけに変更を加えられます。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:214-29,{IMG_TXT} Flip Tool Icon,{IMG_TXT} 上下反転ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:215-11,Flip,上下反転
Layer_Properties.htm+html.body.div.table.tbody.tr.td:216-11,"Clicking the Flip tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut ""<span class=""inline"">X</span>"" ) will flip the tile currently selected for drawing along the <em>horizontal </em>axis, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will flip). If you have no tile selected for drawing, but do have a group of tiles selected on a layer, then the flip tool will Flip the selected tiles.","上下反転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">X</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>縦</em>に反転できます（カスタムブラシを使っている場合はブラシ全体を反転します）。キャンバス上のタイルを選択している場合、その範囲内のタイルをすべて上下反転します。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:221-29,{IMG_TXT} Mirror Tool Icon,{IMG_TXT} 左右反転ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:222-11,Mirror,左右反転
Layer_Properties.htm+html.body.div.table.tbody.tr.td:223-11,"Clicking the Mirror tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut "" <span class=""inline"">Y</span>"" ) will mirror the tile currently selected for drawing along the <em>vertical </em>axis, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will mirror). If you have no tile selected for drawing, but do have a group of tiles selected on a layer, then the Mirror tool will mirror the selected tiles.","左右反転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">Y</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>横</em>に反転できます（カスタムブラシを使っている場合はブラシ全体を反転します）。キャンバス上のタイルを選択している場合、その範囲内のタイルをすべて上下反転します。"
Layer_Properties.htm+html.body.div.table.tbody.tr.td.img[alt]:228-29,{IMG_TXT} Rotate Tool Icon,{IMG_TXT} 回転ツールのアイコン
Layer_Properties.htm+html.body.div.table.tbody.tr.td:229-11,Rotate,回転
Layer_Properties.htm+html.body.div.table.tbody.tr.td:230-11,"Clicking the Rotate tool with the left mouse button <img_tag=LMB_Icon:0> (or using the keyboard shortcut "" <span class=""inline"">Z</span>"" ) will rotate the tile currently selected for drawing 90° <em>clockwise</em>, without changing drawing tool (if you have a custom brush selected for drawing, the whole brush will rotate). If you have no tile selected for drawing, but do have a group of tiles selected on a layer, then the Rotate tool will rotate the selected tiles.","回転ツールを左クリック<img_tag=LMB_Icon:0>（またはキーボードショートカットの""<span class=""inline"">Z</span>""を入力）すると描画ツールを変えることなく、タイルセットから選択したタイルを<em>時計回り</em>に90° 回転できます（カスタムブラシを使っている場合はブラシ全体を回転します）。キャンバス上のタイルを選択している場合、その範囲内のタイルをすべて回転します。"
Layer_Properties.htm+html.body.div.p:236-5,"Note that if you use the Selection Tool <img_tag=Sekection_Tool_Icon:0> to select a group of tiles in the room editor canvas and then either cut or copy them, they will temporarily become the current brush for painting.",なお、キャンバス上のタイルを選択ツール<img_tag=Sekection_Tool_Icon:0>で複数選択してから切り取りまたはコピーすると、一時的なカスタムブラシとして扱うことができます。
Layer_Properties.htm+html.body.p.img[alt]:240-6,{IMG_TXT} Path Layer Icon,{IMG_TXT} パスレイヤーのアイコン
Layer_Properties.htm+html.body.p:240-3,"<span data-open-text=""true"">Paths</span><span data-close-text=""true"">Paths</span>","<span data-open-text=""true"">パス</span><span data-close-text=""true"">パス</span>"
Layer_Properties.htm+html.body.div.p:242-5,"You can add a new path layer by clicking on the <img_tag=Path_Layer_Icon:0> button. This will add the new layer, and then open up the path properties window:",このボタン<img_tag=Path_Layer_Icon:0>をクリックするとパスレイヤーが追加され、パスのプロパティウィンドウが開きます。
Layer_Properties.htm+html.body.div.p.img[alt]:243-25,{IMG_TXT} Room Layer Path properties,{IMG_TXT} ルームレイヤーのパスプロパティ
Layer_Properties.htm+html.body.div.p:243-5,"Here you can select the path from the Asset Browser to use for the layer and then change the defined connection type (either using <a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">smooth interpolation</a> or straight), as well as whether it is closed or not and the precision with which the path should be created. Note too that you can toggle the <a href=""Room_Inheritance.htm"">inheritance</a> here, and that you can set the path to be a specific colour (default is red) to make seeing them better in the editor. If you have no path resource defined, you can click the <strong>New </strong>button to create one. Path layers also have a depth value associated with them (locked by default) even though nothing is actually <a class=""tooltip"" title=""TITLE_KEY::rendered"">rendered</a> in your game when using them.","このウィンドウでは、アセットブラウザから選択したパスをレイヤーに割り当てることができ、さらに接続タイプや（<a class=""tooltip"" title=""TITLE_KEY::smooth_interpolation"">スムース補間</a>または直線）、パスを閉じるかどうか、ポイント間の精度（曲線の滑らかさ）を設定できます。ほかには<a href=""Room_Inheritance.htm"">継承</a>の切り替えや、エディタ内で見やすくなるようパスの色を変更可能です（デフォルトでは赤色）。パスが割り当てられていない場合は、<strong>新規作成</strong>ボタンをクリックすると新しいパスを割り当てできます。パスレイヤーには深度値もありますが（デフォルトではロック状態）、パスが呼び出されても実際のゲームでは何も<a class=""tooltip"" title=""TITLE_KEY::rendered"">レンダリング</a>されません。"
Layer_Properties.htm+html.body.div.p:247-5,"It is worth noting that you can also add points to the path by clicking the left mouse button <img_tag=LMB_Icon:0>, as well as remove points using the right mouse button <img_tag=RMB_Icon:0>, or select a point by clicking on it and dragging it around, <em>all within the actual room editor</em>, making creating and editing paths very easy (although you can still edit the path in the <a href=""../Paths.htm"">Path Editor</a> as normal too). If you hold down <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> + <img_tag=LMB_Icon:0> on different path points, then they will all be selected and you can move them together or delete them all from the menu option (explained below).","また、左クリック<img_tag=LMB_Icon:0>でパスにポイントを追加したり、右クリック<img_tag=RMB_Icon:0>でポイントを削除することができます。ポイントはクリックして追加でき、ドラッグして移動できます。<em>いずれの操作もルームエディタから可能で</em>、ルームを見ながら簡単にパスを作り上げることができます（もちろん<a href=""../Paths.htm"">パスエディタ</a>からも同じパスを編集できます）。ポイントは<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>すると複数選択でき、そのまま同時に動かしたり、以下のメニューから一括削除できます。"
Layer_Properties.htm+html.body.div.p:250-5,If you right click <img_tag=RMB_Icon:0> in the room editor window while manipulating a path then you'll get the following options:,パスの操作中にルームエディタのウィンドウを右クリック<img_tag=RMB_Icon:0>すると、このようなメニューが開きます。
Layer_Properties.htm+html.body.div.p.img[alt]:251-25,{IMG_TXT} Room Layer Path Menu,{IMG_TXT} ルームのレイヤーパスメニュー
Layer_Properties.htm+html.body.div.p:251-5,"Here you can reverse the path direction (this will have little visible effect, but reverses the order in which the path points are counted so the start point becomes the end point and vice-versa), as well as flip them horizontally or vertically. You can also delete the selected point from this menu. Note that you can hold down ""<span class=""inline"">T</span>"", "" <span class=""inline"">S</span>"" or ""<span class=""inline"">R</span>"" then click <img_tag=LMB_Icon:0> and drag to translate, scale or rotate the entire path.","メニューからはパスの方向を逆にしたり（見た目はほとんど変わりませんがポイントの順番が逆になり、最初のポイントが最後のポイントになります）、パスを上下左右に反転できるほか、選択中のポイントを削除することも可能です。なお、""<span class=""inline"">T</span>""、""<span class=""inline"">S</span>""、""<span class=""inline"">R</span>""を押しながらドラッグ<img_tag=LMB_Icon:0>するとパス全体を移動、拡大縮小、回転できます。"
Layer_Properties.htm+html.body.p.img[alt]:256-6,{IMG_TXT} Asset Layer Icon,{IMG_TXT} アセットレイヤーのアイコン
Layer_Properties.htm+html.body.p:256-3,"<span data-open-text=""true"">Assets</span><span data-close-text=""true"">Assets</span>","<span data-open-text=""true"">アセット</span><span data-close-text=""true"">アセット</span>"
Layer_Properties.htm+html.body.div.p:258-5,"You can add a new asset layer by clicking on the <img_tag=Asset_Layer_Icon:0> button. This will add the new layer, and then open up the asset layer properties window:",このボタン<img_tag=Asset_Layer_Icon:0>をクリックするとアセットレイヤーが追加され、アセットレイヤーのプロパティウィンドウが開きます。
Layer_Properties.htm+html.body.div.p.img[alt]:259-25,{IMG_TXT} Room Layer Asset properties,{IMG_TXT} ルームレイヤーのアセットプロパティ
Layer_Properties.htm+html.body.div.p:259-5,"An asset layer is simply a graphical asset (sprite or sequence) that has been placed into the room independently of instances, and you can place them by either dragging them in from the <a href=""../../Introduction/The_Asset_Browser.htm"">Asset Browser</a> or by selecting the one you want in the Asset Browser and then using <img_tag=Alt_Icon:0> + <img_tag=LMB_Icon:0> to ""paint"" them. Sprite assets are similar to tiles, only they can be fully animated - if the sprite used has sub-images they will be shown - without the restrictions that are in place for tiles, ie: they aren't forced to a grid and animations can be any length and speed. Sequences are ""cellections"" of sprites, sounds and instances that will play when the room is entered.","アセットレイヤーは1つの画像アセット（スプライトおよびシーケンス）であり、インスタンスとは異なるものとしてルームに配置されます。このレイヤーには<a href=""../../Introduction/The_Asset_Browser.htm"">アセットブラウザ</a>から画像アセットをドラッグして追加できますが、<img_tag=Alt_Icon:0>を押しながらクリック<img_tag=LMB_Icon:0>すると描くように追加できます。スプライトアセットはタイルと似ているものの、サブ画像があれば完全なアニメーションを再生でき、タイルのような制限もないためグリッドに縛られず、アニメーションの長さと速度も自由に変更できます。シーケンスはスプライト、サウンド、インスタンスを組み合わせたアセットで、ルームに入ったタイミングで再生されます。"
Layer_Properties.htm+html.body.div.p:263-5,"While placing assets on the asset layer they will snap to the grid snap values set at the top of the room editor for the grid, but if you want to place them freehand, simply switch off the grid or use the keys <img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0> and the left mouse button <img_tag=LMB_Icon:0>. While those keys are held down, you will be free to place the asset anywhere, without it snapping to the grid resolution.",アセットレイヤーにアセットを置くとグリッドのスナップ値（ルームエディタの上部から設定可能）に合わせてスナップしますが、自由に配置したいときはグリッドを無効にするか、<img_tag=Control_Icon:0> / <img_tag=CMD_Icon:0>キーを押しながら左クリック<img_tag=LMB_Icon:0>しましょう。これらのキーを押している間はアセットを好きな位置に置けるようになり、グリッドの間隔でスナップしなくなります。
Layer_Properties.htm+html.body.div.p:264-5,"Once you place an asset in the room, you have a certain amount of control over how it looks by double clicking <img_tag=LMB_Icon:0> on it to open the asset properties window:",ルームに配置したアセットをダブルクリック<img_tag=LMB_Icon:0>するとアセットのプロパティウィンドウが開き、見た目をある程度自由に調整することができます。
Layer_Properties.htm+html.body.div.p.img[alt]:265-25,{IMG_TXT} Room Asset properties,{IMG_TXT} ルームのアセットプロパティ
Layer_Properties.htm+html.body.div.p:265-5,"From here you can give the asset a unique name, set whether it is to inherit from the parent room, or change the sprite or sequence that you want it to display. For sequeunces, you can set the animation speed and the initial <a class=""tooltip"" title=""TITLE_KEY::playhead"">playhead</a> frame, as well as the colour to blend with it (white by default) and the position in the room. You can change the characteristics of sprite assets too, setting a colour to blend it with (white by default), or rotating and flipping it. You can also scale sprites along either or both the axis, and set their position within the room. If the sprite has sub-images, you can choose the animation speed as well as set the initial frame to be shown.","ここではアセットに固有の名前をつけたり、親ルームからの継承設定、表示するスプライトおよびシーケンスの変更ができます。シーケンスに関しては、アニメーション速度と<a class=""tooltip"" title=""TITLE_KEY::playhead"">再生ヘッド</a>の初期フレームや、ブレンドする色（デフォルトでは白色）、ルーム内での位置を設定できます。スプライトアセットもその特性を変更可能で、ブレンドする色、回転、反転を設定できます。ほかにもスプライトは縦横のスケールを変更したり、ルーム内での位置も設定可能です。サブ画像がある場合は、さらにアニメーション速度、表示される初期フレームを指定できます。"
Layer_Properties.htm+html.body.div.p:269-5,"It is worth noting that each asset on the layer is automatically flagged for exporting when the game is made. However, especially when working with <a href=""Room_Inheritance.htm"">inheritance</a>, it may be that you don't want specific sprites to be added to the room in the final game. If that is the case, then simply un-checking the ""<strong>Export</strong>"" checkbox to the left of the sprite in the layer properties list will prevent it from being exported as part of the executable. It is important to note, however, that if you have any code that references that asset, then the game will not run correctly, so use this feature with care.","このレイヤー内のアセットは、ゲーム作成時に自動でエクスポートするようフラグ付けされます。とはいえ<a href=""Room_Inheritance.htm"">継承</a>を利用している場合など、最終的にはゲームから除外したいアセットがルームに含まれているかもしれません。このような場合、レイヤープロパティに表示されている各アセットの""<strong>エクスポート</strong>""のチェックを外すと、それらが実行ファイルの一部として出力されなくなります。ただし大きな注意点があり、チェックを外したアセットをコードから参照している場合、ゲームが正常に実行されなくなる恐れがあります。そのため注意して扱ってください。"
Layer_Properties.htm+html.body.div.div.div.div:279-9,"Back: <a href=""../Rooms.htm"">The Room Editor</a>","戻る: <a href=""../Rooms.htm"">ルームエディタ</a>"
Layer_Properties.htm+html.body.div.div.div.div:280-9,"Next: <a href=""Room_Properties.htm"">Room Properties</a>","次へ: <a href=""Room_Properties.htm"">ルームプロパティ</a>"
Layer_Properties.htm+html.body.p:294-1,{SEARCH_RESULT} Page detailing the different room layer types and properties,{SEARCH_RESULT} ルームレイヤー各種とプロパティについての詳細ページ
Layer_Properties.htm+html.body.p:294-84,{INDEX_KEYWORD} Rooms - Layers,{INDEX_KEYWORD} ルーム - レイヤー
Layer_Properties.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Layer_Properties.htm.img_tag+Asset_Layer_Icon:0,{IMG_TXT} Asset Layer Icon,{IMG_TXT} アセットレイヤーのアイコン
Layer_Properties.htm.img_tag+Background_Layer_Icon:0,{IMG_TXT} Background Layer Icon,{IMG_TXT} 背景レイヤーのアイコン
Layer_Properties.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Layer_Properties.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Layer_Properties.htm.img_tag+Delete_Layer_Icon:0,{IMG_TXT} Delete Layer Icon,{IMG_TXT} レイヤーを削除アイコン
Layer_Properties.htm.img_tag+Escape_Icon:0,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Layer_Properties.htm.img_tag+Eye_Icon:0,{IMG_TXT} Eye Icon,{IMG_TXT} 目アイコン
Layer_Properties.htm.img_tag+Folder_Icon:0,{IMG_TXT} Folder Icon,{IMG_TXT} フォルダアイコン
Layer_Properties.htm.img_tag+Instance_Layer_Icon:0,{IMG_TXT} Instance Layer Icon,{IMG_TXT} インスタンスレイヤーのアイコン
Layer_Properties.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Layer_Properties.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Layer_Properties.htm.img_tag+Padlock_Icon:0,{IMG_TXT} Padlock Icon,{IMG_TXT} 南京錠アイコン
Layer_Properties.htm.img_tag+Path_Layer_Icon:0,{IMG_TXT} Path Layer Icon,{IMG_TXT} パスレイヤーのアイコン
Layer_Properties.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Layer_Properties.htm.img_tag+Sekection_Tool_Icon:0,{IMG_TXT} Sekection Tool Icon,{IMG_TXT} 選択ツールアイコン
Layer_Properties.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
Layer_Properties.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
Layer_Properties.htm.img_tag+Tile_map_Layer_Icon:0,{IMG_TXT} Tile map Layer Icon,{IMG_TXT} タイルマップレイヤーのアイコン
