Rooms.htm+html.head.title:55-3,Rooms,ルーム
Rooms.htm+html.body.ul.li:230-5,"<strong>Convert Image To Tile Map</strong>: The Convert Image To Tile Map option is a powerful tool that can be used to import a single image and then extract the tiles used from the image and recreate it as a tile map layer in the room editor, creating the required tile set and sprite as part of process. When you select this tool, you will be asked to supply an uncompressed image file (<span class=""inline"">PNG</span>, <span class=""inline"">GIF </span>or <span class=""inline"">BMP</span>) which will then be loaded. On load you will be presented with the <strong>Image Import</strong> tool:<br /> <img_tag=Convert_Image_To_Tilemap_Tool:0>Here you are given options on how to split up the tile when creating the tile set, and you can set the cell width and height as well as any offsets required around the edges. You can also set the approximate width (in pixels) for the final sprite that is created. For example, if the tile set is made up of 64x64 tile cells and you set a width here of 200, the final sprite that is created for use in the tile set will be 192 pixels wide (ie: 3 tile cells). If you leave it at the default value of 0, then GameMaker Studio 2 will attempt to make as ""square"" a sprite as possible with approximately the same number of horizontal and vertical tile cells.<br /> <br /> After setting the way the image is to be split, clicking the swatch beside the <strong>Remove Colour</strong> option will open the colour picker and permit you to select a colour that is to be removed from the final sprite. This is usually a background colour that you want to remove and setting this swatch to anything other than 100% transparent (alpha 0) will remove the selected colour on import.<br /> <br /> Finally, you have the option to name the sprite, tile set and tile map layer that will be created for you by this tool. When you finalise the import, a sprite with all the images laid out in a grid will be created, as well as a tile set from this sprite. In the room, a new tile map layer will be created and the image reproduced using the generated tile set. Note that the tool will <em>not </em>duplicate tiles and will instead recognise when a cell has image data that coincides with another cell (this includes rotated tiles). You can see this in the following image where only one flower tile has been created and one crate tile too, yet there are multiple instances of both, with some instances rotated in the base image:","<strong>画像をタイルマップに変換</strong>: とても強力なツールであり、インポートした1枚の画像からタイルを抽出後、ルームエディタのタイルマップレイヤーとして作成し直し、その過程で必要なタイルセットとスプライトを作成することができます。項目を選ぶと、まず非圧縮の画像ファイル（<span class=""inline"">PNG</span>、<span class=""inline"">GIF</span>、<span class=""inline"">BMP</span>）を指定するダイアログが開き、その画像が読み込まれると<strong>画像インポート</strong>ツールが表示されます。<br /><img_tag=Convert_Image_To_Tilemap_Tool:0>この画面ではタイルセット作成時にタイルをどう分割するかを決めたり、セルの幅と高さや、境界線からのオフセットを設定できます。さらに、最終的に作成されるスプライトのおおよその幅を設定することも可能です。たとえばタイルセットのセルを64x64、送り先の幅を200に設定した場合、最終的に作成されるスプライトの幅は192ピクセル（列ごとのセルは3つ）になります。デフォルト値の0にした場合は、スプライトがなるべく「四角形」になるよう調整され、タイルの水平・垂直セル数はおおむね同じ数となります。<br /><br />分割の設定が終わったら、<strong>消去する色</strong>の横にある色見本をクリックしてみましょう。カラーピッカーが開き、最終的なスプライトから消去する色を指定できます。基本的には背景色を消すためのオプションで、透明度を100%未満（完全透明ではない）にすれば、指定した色がインポート時に消去されます。<br /><br />あとはツールによって作成されるスプライト、タイルセット、タイルマップの名前を決めるだけです。インポートが完了すると、すべての画像をグリッドに沿って並べたスプライトが、さらにそのスプライトからタイルセットが作成されます。ルームには新しいタイルマップレイヤーが作られ、生成されたタイルセットと同じ画像になるようコピーが行われます。なお、このツールはタイルを<em>複製せず</em>、セルの画像データが別のセルと一致している場合は同じタイルとして扱います（回転したタイルも同様です）。以下の画像では、花のタイルと木箱のタイルが1つしか作成されていませんが、それらタイルのインスタンスは複数あり、一部のインスタンスは元の画像を回転させたものとなっています。"
Rooms.htm+html.body.ul.li.img[alt]:242-7,{IMG_TXT} Convert Image To Tilemap Example Tileset,{IMG_TXT} 画像をタイルマップに変換のタイルセット例
Rooms.htm+html.body.div.div.div.div:249-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>","戻る: <a href=""The_Asset_Editors.htm"">アセットエディタ</a>"
Rooms.htm+html.body.div.div.div.div:250-9,"Next: <a href=""Scripts.htm"">Scripts</a>","次へ: <a href=""Scripts.htm"">スクリプト</a>"
Rooms.htm+html.body.p:265-1,{SEARCH_RESULT} Page detailing how the room editor works,{SEARCH_RESULT} ルームエディタの仕組みについての詳細ページ
Rooms.htm+html.body.p:265-64,{INDEX_KEYWORD} Room Editor,{INDEX_KEYWORD} ルームエディタ
Rooms.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Rooms.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Rooms.htm.img_tag+Canvas_Fit_Icon:0,{IMG_TXT} Canvas Fit Icon,{IMG_TXT} キャンバスにフィットアイコン
Rooms.htm.img_tag+Canvas_Layer_Select_Icon:0,{IMG_TXT} Canvas Layer Select Icon,{IMG_TXT} キャンバスのレイヤー選択アイコン
Rooms.htm.img_tag+Canvas_View_Icon:0,{IMG_TXT} Canvas View Icon,{IMG_TXT} キャンバスのビューアイコン
Rooms.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Rooms.htm.img_tag+Convert_Image_To_Tilemap_Tool:0,{IMG_TXT} Convert Image To Tilemap Tool,{IMG_TXT} 画像のタイルマップ変換ツール
Rooms.htm.img_tag+Delete_Layer_Icon:0,{IMG_TXT} Delete Layer Icon,{IMG_TXT} レイヤーを削除アイコン
Rooms.htm.img_tag+Enter_Icon:0,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Rooms.htm.img_tag+Eye_Icon:0,{IMG_TXT} Eye Icon,{IMG_TXT} 目アイコン
Rooms.htm.img_tag+Folder_Icon:0,{IMG_TXT} Folder Icon,{IMG_TXT} フォルダアイコン
Rooms.htm.img_tag+Icon_Grid_Menu:0,{IMG_TXT} Icon Grid Menu,{IMG_TXT} グリッドメニューのアイコン
Rooms.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Rooms.htm.img_tag+MMB_Icon:0,{IMG_TXT} MMB Icon,{IMG_TXT} 中央マウスボタンアイコン
Rooms.htm.img_tag+Padlock_Icon:0,{IMG_TXT} Padlock Icon,{IMG_TXT} 南京錠アイコン
Rooms.htm.img_tag+Play_Room_Icon:0,{IMG_TXT} Play Room Icon,{IMG_TXT} ルーム再生アイコン
Rooms.htm.img_tag+RMB_Icon:0,{IMG_TXT} RMB Icon,{IMG_TXT} 右クリックアイコン
Rooms.htm.img_tag+Room_Creation_Order_Window:0,{IMG_TXT} Room Creation Order Window,{IMG_TXT} ルームの生成順序ウィンドウ
Rooms.htm.img_tag+Room_Grid_Options:0,{IMG_TXT} Room Grid Options,{IMG_TXT} ルームのグリッド設定
Rooms.htm.img_tag+Room_Tile_Menu:0,{IMG_TXT} Room Tile Menu,{IMG_TXT} ルームのタイルメニュー
Rooms.htm.img_tag+Shift_Icon:0,{IMG_TXT} Shift Icon,{IMG_TXT} Shiftアイコン
Rooms.htm.img_tag+Space_Icon:0,{IMG_TXT} Space Icon,{IMG_TXT} Spaceアイコン
Rooms.htm.img_tag+Zoom_Reset_Icon:0,{IMG_TXT} Zoom Reset Icon,{IMG_TXT} ズームリセットアイコン
