Image_Editor.htm+html.head.title:55-3,Image Editor,イメージエディタ
Image_Editor.htm+html.body.div.table.tbody.tr.td:221-11,"This tool will draw either a filled or an outlined rectangle. If you click in the top left of the icon, it will be outlined, while clicking the bottom right will be filled and if you require both then you can select that option from the top bar of the image editor (or use <img_tag=Shift_Icon:1> + <img_tag=LMB_Icon:10> to select one then the other on the toolbox icon), as well as set the size and smoothing of the brush being used. The rectangle will then be drawn using the selected brush. Note that while drawing you can hold down <img_tag=Alt_Icon:0> and click to draw from the centre of the mouse position.",塗りつぶし・輪郭線のみの「長方形」を描けるツールです。アイコンの左上部分をクリックした場合は輪郭線のみ、右下部分をクリックした場合は塗りつぶしとなります。輪郭線と塗りつぶしを合わせたい場合は、イメージエディタの上部バーから「両方」を選択してください（<img_tag=Shift_Icon:1>を押しながらアイコンの両側をクリック<img_tag=LMB_Icon:10>してもOKです）。また、上部バーからはブラシのサイズ、スムースといった設定も変更できます。長方形は指定したブラシで描かれ、<img_tag=Alt_Icon:0>を押しながら使用すると、クリックした位置を中心として描くことができます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:226-29,{IMG_TXT} Ellipse Icon,{IMG_TXT} 楕円形アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:227-11,Ellipse,楕円形
Image_Editor.htm+html.body.div.table.tbody.tr.td:228-11,"This tool will draw either a filled or an outlined ellipse. If you click in the top left of the icon, it will be outlined, while clicking the bottom right will be filled and if you require both then you can select that option from the top bar of the image editor (or use <img_tag=Shift_Icon:2> + <img_tag=LMB_Icon:11> to select one then the other on the toolbox icon), as well as set the size and smoothing of the brush being used. The ellipse will be drawn using the selected brush to create the outline. Note that while drawing you can hold down <img_tag=Alt_Icon:1> and click to draw from the centre of the mouse position.",塗りつぶし・輪郭線のみの「楕円形」を描けるツールです。アイコンの左上部分をクリックした場合は輪郭線のみ、右下部分をクリックした場合は塗りつぶしとなります。輪郭線と塗りつぶしを合わせたい場合は、イメージエディタの上部バーから「両方」を選択してください（<img_tag=Shift_Icon:2>を押しながらアイコンの両側をクリック<img_tag=LMB_Icon:11>してもOKです）。また、上部バーからはブラシのサイズ、スムースといった設定も変更できます。楕円形は指定したブラシで描かれ、<img_tag=Alt_Icon:1>を押しながら使用すると、クリックした位置を中心として描くことができます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:233-29,{IMG_TXT} Polygon Icon,{IMG_TXT} 多角形アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:234-11,Polygon,多角形
Image_Editor.htm+html.body.div.table.tbody.tr.td:235-11,"This tool will draw either a filled or an outlined polygon. If you click in the top left of the icon, it will be outlined, while clicking the bottom right will be filled and if you require both then you can select that option from the top bar of the image editor (or use <img_tag=Shift_Icon:3> + <img_tag=LMB_Icon:12> to select one then the other on the toolbox icon), as well as set the size and smoothing of the brush being used. You click <img_tag=LMB_Icon:13> or <img_tag=RMB_Icon:5> to add points to the polygon using the selected brush and when you are happy with the results you should select a different tool to commit the changes and generate the image. The polygon will be drawn using the selected brush. You can press <img_tag=Escape_Icon:0> at any time to cancel the polygon definition.",塗りつぶし・輪郭線のみの「多角形」を描けるツールです。アイコンの左上部分をクリックした場合は輪郭線のみ、右下部分をクリックした場合は塗りつぶしとなります。輪郭線と塗りつぶしを合わせたい場合は、イメージエディタの上部バーから「両方」を選択してください（<img_tag=Shift_Icon:3>を押しながらアイコンの両側をクリック<img_tag=LMB_Icon:12>してもOKです）。また、上部バーからはブラシのサイズ、スムースといった設定も変更できます。左<img_tag=LMB_Icon:13>または右クリック<img_tag=RMB_Icon:5>で多角形にポイントを追加していき、描きたい形になったら他のツールに切り替え、変更を確定しましょう。楕円形は指定したブラシで描かれ、<img_tag=Escape_Icon:0>を押すことで編集を中断できます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:241-29,{IMG_TXT} Spline Icon,{IMG_TXT} 円弧アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:242-11,Spline,円弧
Image_Editor.htm+html.body.div.table.tbody.tr.td:243-11,"This is the spline tool. It uses the selected brush to create a <a class=""tooltip"" title=""TITLE_KEY::spline"">spline</a>. You click and hold either mouse button to set a point and then drag the mouse to generate the spline, releasing the mouse and repeating to add further points and curves. The spline will be drawn using the selected brush, which can be edited using the top bar of the editor to set size and smoothing. The top bar also has a setting for <strong>Iterations </strong>which will define how smooth the resulting spline is (lower values will be rougher, higher smoother, and the default value is 10).","使用中のブラシで円弧（<a class=""tooltip"" title=""TITLE_KEY::spline"">スプライン</a>）を描くツールです。クリックをした位置にポイントが置かれ、ドラッグをすると円弧になります。クリックとドラッグを繰り返して望んだ形を作りましょう。円弧は指定したブラシで描かれ、エディタ上部のバーからブラシのサイズ、スムースを変更できます。また、バーからは円弧の<strong>滑らかさ</strong>も設定可能で、数値を下げるほどカクつき、上げるほど滑らかになります。デフォルトの設定値は10です。"
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:248-29,{IMG_TXT} Text Icon,{IMG_TXT} テキストアイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:249-11,Text,テキスト
Image_Editor.htm+html.body.div.table.tbody.tr.td:250-11,This is the text input tool. It creates a new text layer where you can type anything you need. You can set the font to use as well as the formatting from the top bar of the image editor.,テキストの入力ツールを使うと、新しいレイヤーにテキスト画像が作成されます。イメージエディタの上部バーからフォントや書式を変更可能です。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:253-29,{IMG_TXT} Dropper Icon,{IMG_TXT} スポイトアイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:254-11,Eye Dropper,スポイト
Image_Editor.htm+html.body.div.table.tbody.tr.td:255-11,The eye-dropper tool permits you to sample a colour from the image currently being edited.,スポイトツールは編集している画像の色を取得するツールです。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:258-29,{IMG_TXT} Select Rectangle Icon,{IMG_TXT} 長方形選択アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:259-11,Rectangle Selection,長方形選択
Image_Editor.htm+html.body.div.table.tbody.tr.td:260-11,With this tool you can generate a rectangular selection. You can cancel a selection from the Image menu or pressing <img_tag=Escape_Icon:1>.,長方形の範囲選択ができるツールです。メニューの「イメージ」を開くか、<img_tag=Escape_Icon:1>を押すと選択範囲を解除できます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:263-29,{IMG_TXT} Paint Selection Icon,{IMG_TXT} 手書き選択アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:264-11,Paint Selection,手書き選択
Image_Editor.htm+html.body.div.table.tbody.tr.td:265-11,"With this tool you can ""paint"" a selected area using any of the brushes, including custom brushes. All the same keyboard shortcuts apply as for the Pencil tool. You can cancel a selection from the Image menu or pressing",ブラシ（カスタムブラシ含む）で描いた範囲を選択できるツールで、鉛筆ツールと同じキーボードショートカットを利用できます。メニューの「イメージ」を開くか、キーで選択を解除できます:
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:265-258,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:268-29,{IMG_TXT} Magic Wand Icon,{IMG_TXT} 自動選択アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:269-11,Magic Wand,自動選択
Image_Editor.htm+html.body.div.table.tbody.tr.td:270-11,"The magic wand selection tool will select areas of the same colour based on the tolerance value set from the top bar of the editor. If you tick ""Colour only"" then alpha value will not be taken into consideration. You can cancel a selection from the Image menu or pressing <img_tag=Escape_Icon:2>.",自動選択ツールでは、エディタの上部バーから設定できる許容値をもとに同じ色の範囲を選択できます。「色のみ」をチェックするとアルファ値を対象としなくなります。メニューの「イメージ」を開くか、<img_tag=Escape_Icon:2>を押すと選択範囲を解除できます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:274-29,{IMG_TXT} Rotate Icon,{IMG_TXT} 回転アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:275-11,Rotate,回転
Image_Editor.htm+html.body.div.table.tbody.tr.td:276-11,"This is the rotate tool. If you have an area selected using one of the Selection tools, then clicking this will permit you to rotate the selected area by an arbitrary amount from 0° to 360°. If you do not have an area of the image selected then this will permit you to rotate the current brush. To rotate, simply hold down the left mouse button <img_tag=LMB_Icon:14> and drag left or right or set the value directly in the top bar. To accept the changes you can press either <img_tag=Enter_Icon:2> or select another tool. Note that accepting the change will not change the source material, but rather create a new Brush resource for you to use with the selected image or a brush rotated by the amount you set. Also note that the keyboard shortcut ""<span class=""inline"">Z</span>"" can be used to rotate any selection or brush by 90° and that this option does not create a new brush and will only affect how the current brush is drawn.","選択範囲がある状態でこのツールをクリックすると、範囲内を0° から360° の角度で回転できます。選択範囲がない場合は、使用中のブラシを回転します。回転はドラッグ<img_tag=LMB_Icon:14>または上部バーから数値を入力して行います。変更を確定するには<img_tag=Enter_Icon:2>を押すか、別のツールに切り替えてください。なお、変更を確定しても元の画像およびブラシはそのままで、指定した値で回転させた新しいブラシが作成されます。ブラシはキーボードショートカットの""<span class=""inline"">Z</span>""でも90° 単位で回転できますが、この場合は新しいブラシを作成せず、使用中のブラシ形状だけを変化させます。"
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:283-29,{IMG_TXT} Mirror Icon,{IMG_TXT} 左右反転アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:284-11,Mirror,左右反転
Image_Editor.htm+html.body.div.table.tbody.tr.td:285-11,This is the mirror tool. Selecting this will mirror the current brush along the vertical axis. This option does not create a new brush and will only affect how the current brush is drawn.,左右反転ツールを選ぶとブラシを横に反転できます。新しいブラシを作成せず、使用中のブラシ形状だけを変化させます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:288-29,{IMG_TXT} Flip Icon,{IMG_TXT} 上下反転アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:289-11,Flip,上下反転
Image_Editor.htm+html.body.div.table.tbody.tr.td:290-11,This is the flip tool. Selecting this will mirror the current brush along the horizontal axis. This option does not create a new brush and will only affect how the current brush is drawn.,上下反転ツールを選ぶとブラシを縦に反転できます。新しいブラシを作成せず、使用中のブラシ形状だけを変化させます。
Image_Editor.htm+html.body.div.table.tbody.tr.td.img[alt]:293-29,{IMG_TXT} Pan Icon,{IMG_TXT} 移動アイコン
Image_Editor.htm+html.body.div.table.tbody.tr.td:294-11,Pan,移動
Image_Editor.htm+html.body.div.table.tbody.tr.td:295-11,"This is the pan tool. When you select this, you can then click <img_tag=LMB_Icon:15> and drag the mouse to pan the layer contents around within the layer. Note that any pixels outside of the draw canvas will not be visible and the image will be cropped to the draw canvas size when you change tool again. Note too that if you have made a selection then the selected pixels will be moved rather than the contents of the layer.",移動ツールを選んでからドラッグ<img_tag=LMB_Icon:15>すると、レイヤー内の画像を動かすことができます。なお、描画キャンバスの外に出されたピクセルは表示されず、ツールを変更するとイメージ全体がキャンバスの大きさで切り抜かれるためご注意ください。また、選択範囲がある場合はレイヤー全体ではなく、範囲内のピクセルだけを動かせます。
Image_Editor.htm+html.body.p:303-3,"<span data-open-text=""true"">Layer Editor</span><span data-close-text=""true"">Layer Editor</span>","<span data-open-text=""true"">レイヤーエディタ</span><span data-close-text=""true"">レイヤーエディタ</span>"
Image_Editor.htm+html.body.div.p:305-5,"You can create <strong>layers </strong>in the image editor for different parts of your image, and these layers can be manipulated and drawn to using the various brushes and tools. To create a new layer, simply click the <img_tag=Add_Layer_Icon:0> icon, and to remove it again the <img_tag=Remove_Layer_Icon:0> icon. Layers can also be ordered by clicking <img_tag=LMB_Icon:16> on a layer and then dragging the layer up or down to the position you require, and you can further organise the layers by creating folders using the <img_tag=Add_Layer_Folder_Icon:0> button and then dragging layers into them. If you double click <img_tag=LMB_Icon:17> on a layer (or use <img_tag=RMB_Icon:6> and select <strong>Edit Layer Properties</strong>) you'll get access to the Layer Properties window:",イメージエディタでは<strong>レイヤー</strong>を作成し、画像を複数のパーツに分けることができます。レイヤーはそれぞれ個別にブラシで描いたり、ツールで操作することが可能です。レイヤーを作成するには<img_tag=Add_Layer_Icon:0>アイコンを、削除するには<img_tag=Remove_Layer_Icon:0>アイコンをクリックします。レイヤーはドラッグ<img_tag=LMB_Icon:16>して並び替えることも可能で、<img_tag=Add_Layer_Folder_Icon:0>ボタンをクリックして作成したフォルダに入れて整理することもできます。ダブルクリック<img_tag=LMB_Icon:17>をした（または右クリック<img_tag=RMB_Icon:6>して「<strong>レイヤープロパティ編集</strong>」を選んだ）場合は、レイヤーのプロパティウィンドウがこのように開きます。
Image_Editor.htm+html.body.div.p.img[alt]:309-25,{IMG_TXT} Image Editor Layer Properties,{IMG_TXT} イメージエディタのレイヤープロパティ
Image_Editor.htm+html.body.div.p:309-5,"Here you can name the layer as well as set the blend mode (the way that it should be ""mixed"" with the layers beneath), choosing from <em>normal</em>, <em>additive</em>, <em>subtractive </em>or <em>multiply </em>blends. Finally you can set the opacity (transparency) of the layer with a slider, but note that this is cumulative with the actual alpha value of individual pixels - for example, if you have pixels that are 50% opaque and set the layer opacity to 50%, the final pixels will be drawn at 25% opacity.",プロパティウィンドウではレイヤーの名前のほかに、<em>通常</em>・<em>加算</em>・<em>減算</em>・<em>乗算</em>といったブレンドモード（下層のレイヤーとの合成モード）を指定できます。スライダーからレイヤーの透過値（透明さ）も設定できますが、レイヤーの透過値には各ピクセルの透過値が加算されます。たとえばピクセルの透過値が50%、レイヤーの透過値が50%の場合、実際のピクセルは25%の透過値で表示されます。
Image_Editor.htm+html.body.p:314-3,"Apart from those tools within the image editor itself, there are also a number of extra tools available to you from the Menu Bar at the top of the IDE:",イメージエディタだけでなく、IDE 上部のメニューバーからもいくつかの専用ツールを利用できます。
Image_Editor.htm+html.body.p.img[alt]:315-6,{IMG_TXT} Image Editor Menus,{IMG_TXT} イメージエディタのメニュー
Image_Editor.htm+html.body.p:315-3,These menus are explained in the sections below:,以下は各メニューについての説明です。
Image_Editor.htm+html.body.p:316-3,"<span data-open-text=""true"">Image</span><span data-close-text=""true"">Image</span>"
Image_Editor.htm+html.body.div.p.img[alt]:318-25,{IMG_TXT} Image Editor Image Menu
Image_Editor.htm+html.body.div.p:318-5,The Image menu has the following options (some of which may or may not be available depending on the currrent editor focus):
Image_Editor.htm+html.body.div.ul.li:320-7,"<strong>Cut Frame</strong> / <strong>Selection </strong>- Cut the frame or selection from the image, depending on Editor focus. If cutting a selection, this will add it to the brushes."
Image_Editor.htm+html.body.div.ul.li:321-7,"<strong>Copy Frame</strong> / <strong>Selection </strong>- Copy the frame or the selection from the image, depending on Editor focus. If copying a selection, this will add it to the brushes."
Image_Editor.htm+html.body.div.ul.li:322-7,"<strong>Paste Frame</strong> / <strong>Selection </strong>- Paste the frame from the clipboard, or paste the selection from the clipboard to the image, depending on the current focus of the IDE. When pasting into an image, you should note that this option is designed only for use with clipboard data from external programs. When you cut or copy to the clipboard from an image in the Image Editor, this is added to the brushes in the top right of the editor, and you should select a brush to draw with the cut/copied selection rather than try to paste it into the image. Also note that a number of programs will have issues pasting transparencies from the clipboard into GameMaker Studio 2 image editor due to the format used by the clipboard."
Image_Editor.htm+html.body.div.ul.li:325-7,<strong>Select All </strong>- Select the full image.
Image_Editor.htm+html.body.div.ul.li:326-7,<strong>Cancel Selection</strong> - Clear any selection from the image.
Image_Editor.htm+html.body.div.ul.li:327-7,<strong>Invert Selection</strong> - Invert the current selection.
Image_Editor.htm+html.body.div.ul.li:328-7,<strong>Add Frame</strong> - Add a new frame to the sprite.
Image_Editor.htm+html.body.div.ul.li:329-7,<strong>Insert Frame</strong> - Insert a new frame after the one currently showing.
Image_Editor.htm+html.body.div.ul.li:330-7,<strong>Delete Selected Fames</strong> - Remove the selected frame from the sprite (you can use <img_tag=Control_Icon:9> / <img_tag=CMD_Icon:9> + <img_tag=LMB_Icon:18> and/or <img_tag=Shift_Icon:4> + <img_tag=LMB_Icon:19> to select multiple frames).
Image_Editor.htm+html.body.div.ul.li:331-7,"<strong>Import Image(s)</strong> - Load an image to be used as a frame from disk. Note that you can load multiple frames at once by selecting multiple individual files to import in the explorer window. Once you have selected your file or files you will be shown the following Import window:<br /> <img_tag=Image_Editor_Import_Window:0>Here you can choose how the imported image should be added to the current sprite, permitting you to resize the entire draw canvas, crop or pad it, and also set the ""anchor"" position for placing the new image(s)."
Image_Editor.htm+html.body.div.ul.li:335-7,"<strong>Convert to Frames</strong> - This option will convert a single image into a number of separate frames. You must first have created a single frame with all the parts of the animation in it (or imported a single strip image) like the one shown below:<br /> <img_tag=Image_Editor_Animation_Strip:0>Since this is a single image and we want to convert it into individual frames, we can use this option which will then open the following window:<br /> <img_tag=Image_Editor_Convert_to_Animation_Frames:0>Here you can set how the single image should be split to create the frames, setting the number of frames, the width and height of the frames and any including any offset values."
Image_Editor.htm+html.body.div.ul.li:341-7,"<strong>Import Strip Image</strong> - This option will open a file explorer and prompt you to look for a single strip image file to be used to create frames from. Once selected an image the Import strip window will open, exactly the same as for the <strong>Convert To Frames</strong> option shown above."
Image_Editor.htm+html.body.div.ul.li:343-7,"<strong>Export to PNG</strong> - Selecting this option will export the sprite as a single <span class=""inline"">PNG</span> image. If the sprite has more than a single image, then a ""strip"" sprite will be created with all the images, one after another, and the save file name will automatically be appended with ""<span class=""inline"">_stripX</span>"", where ""<span class=""inline"">X</span>"" is the number of frames exported. For example, a five frame sprite will be exported as ""<span class=""inline"">sprite_name_strip5.png</span>""."
Image_Editor.htm+html.body.div.ul.li:346-7,"<strong>Resize All Frames</strong> - When you select this option it will open the following window where you can set the way that you want to resize all the animation frames that comprise the sprite:<br /> <img_tag=Image_Editor_Resize_Frames:0>You can choose to either <strong>Scale </strong>the image, or to <strong>Resize</strong> the canvas. If you choose to scale the image then you simply select the new width and/or height for each frame, whether to scale using the same aspect ratio, and also whether to scale in pixels or percent. Note that when scaling you can enable <a class=""tooltip"" title=""TITLE_KEY::linear_interpolation"">linear interpolation</a> on or off, where having it on will cause the pixels to blur or ""smear"" as the image is scaled (in general, for hi resolution art you want this <em>on</em>, but for pixel art you want this <em>off</em>).<br /> <br /> The option to resize the canvas will not alter the pixels within the image but instead increase or decrease the size of the canvas that the images are being drawn on. You can set where the ""anchor"" for the resize should be using the arrow icons, then set the new size (in pixels or as a percentage) as well as set whether to maintain the aspect ratio of the original frames. Note that making the frame smaller than the original sprite images will crop the pixels."
Image_Editor.htm+html.body.div.ul.li:352-7,"<strong>Crop All Frames To Selection</strong> - This option will only be available when you have an area of the image selected in the main draw canvas. When you then choose this option, the image being edited (and all other frames in the animation) will be cropped to the boundaries of the selection."
Image_Editor.htm+html.body.div.ul.li:354-7,"<strong>Auto Trim All Frames</strong> - This option permits you to trim all the zero-alpha pixels from around the edges of a sprite. This will take into consideration all image frames within the sprite, so each side will crop to the edge of whichever frame has the furthest non-zero alpha pixel."
Image_Editor.htm+html.body.div.ul.li.img[alt]:356-9,{IMG_TXT} Image Editor Trim Frames
Image_Editor.htm+html.body.div.ul.li:357-7,<strong>Reverse Frames</strong> - Selecting this will simply reverse the frame order for the sprite.
Image_Editor.htm+html.body.div.ul.li:358-7,<strong>Mirror </strong>- This option permits you to mirror either the current frame all all the frames that comprise the sprite along the vertical axis.
Image_Editor.htm+html.body.div.ul.li:359-7,<strong>Flip </strong>- This option permits you to flip either the current frame all all the frames that comprise the sprite along the horizontal axis.
Image_Editor.htm+html.body.div.ul.li:360-7,<strong>Rotate all Frames (clockwise 90°)</strong> - This option will rotate all the frames of the animation 90° clockwise.
Image_Editor.htm+html.body.div.ul.li:361-7,<strong>Rotate all Frames (anti-clockwise 90°)</strong> - This option will rotate all the frames of the animation 90° anti-clockwise.
Image_Editor.htm+html.body.p:365-3,"<span data-open-text=""true"">View</span><span data-close-text=""true"">View</span>"
Image_Editor.htm+html.body.div.p.img[alt]:367-25,{IMG_TXT} Image Editor Views Menu
Image_Editor.htm+html.body.div.p:367-5,The View menu has the following options:
Image_Editor.htm+html.body.div.ul.li:369-7,<strong>1:1</strong> - Scale the image to be 1:1 with the resolution (ie: actual size) and center it in the image edit window.
Image_Editor.htm+html.body.div.ul.li:370-7,<strong>Fit Screen</strong> - Scale the image to fill the image edit window.
Image_Editor.htm+html.body.div.ul.li:371-7,<strong>Show grid</strong> - Toggle the pixel grid. This is the same as the grid button found in the Canvas Controls (explained further up this page).
Image_Editor.htm+html.body.div.ul.li:372-7,"<strong>Onion Skin Settings</strong> - Change the onion skin settings. This will open the following window where you can set the frames shown by the onion skin button, as well as the opacity and colour of the skinned frames."
Image_Editor.htm+html.body.div.ul.li.img[alt]:373-9,{IMG_TXT} Image Editor Onion Skin Properties
Image_Editor.htm+html.body.p:377-3,"<span data-open-text=""true"">Effects</span><span data-close-text=""true"">Effects</span>"
Image_Editor.htm+html.body.div.p.img[alt]:379-25,{IMG_TXT} Image Editor Effects Menu
Image_Editor.htm+html.body.div.p:379-5,"The Effects menu is where you can add your own custom effects plugins, and has the following effects by default:"
Image_Editor.htm+html.body.div.ul.li:381-7,"<strong>Blur </strong>- Apply a blur effect to the image. You can set the intensity as well as the type of blur to use (box or gaussian) and set whether to only blur along the horizontal or vertical axis, or along both. You can then choose to apply this to only the current layer, visible layers or all layers."
Image_Editor.htm+html.body.div.ul.li.img[alt]:383-9,{IMG_TXT} Image Editor Blur Effect
Image_Editor.htm+html.body.div.ul.li:384-7,"<strong>Greyscale </strong>- Desaturate the image by a determined amount. You can choose to apply this to only the current layer, visible layers or all layers."
Image_Editor.htm+html.body.div.ul.li.img[alt]:385-9,{IMG_TXT} Image Editor Greyscale Effect
Image_Editor.htm+html.body.div.div.div.div:394-9,"Back: <a href=""The_Asset_Editors.htm"">The Asset Editors</a>"
Image_Editor.htm+html.body.div.div.div.div:395-9,"Next: <a href=""Animation_Curves.htm"">Animation Curves</a>"
Image_Editor.htm+html.body.p:408-1,{SEARCH_RESULT} Page detailing how the image editor works
Image_Editor.htm+html.body.p:408-65,{INDEX_KEYWORD} Image Editor
Image_Editor.htm.img_tag+Add_Frame_Icon:0,{IMG_TXT} Add Frame Icon,{IMG_TXT} フレーム追加アイコン
Image_Editor.htm.img_tag+Add_Layer_Folder_Icon:0,{IMG_TXT} Add Layer Folder Icon,{IMG_TXT} レイヤーフォルダ追加アイコン
Image_Editor.htm.img_tag+Add_Layer_Icon:0,{IMG_TXT} Add Layer Icon,{IMG_TXT} レイヤー追加アイコン
Image_Editor.htm.img_tag+Alt_Icon:0,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Image_Editor.htm.img_tag+Alt_Icon:1,{IMG_TXT} Alt Icon,{IMG_TXT} Altアイコン
Image_Editor.htm.img_tag+CMD_Icon:0,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:1,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:2,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:3,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:4,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:5,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:6,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:7,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:8,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+CMD_Icon:9,{IMG_TXT} CMD Icon,{IMG_TXT} CMDアイコン
Image_Editor.htm.img_tag+Canvas_Fit_Icon:0,{IMG_TXT} Canvas Fit Icon,{IMG_TXT} キャンバスにフィットアイコン
Image_Editor.htm.img_tag+Canvas_Grid_Icon:0,{IMG_TXT} Canvas Grid Icon,{IMG_TXT} キャンバスグリッドアイコン
Image_Editor.htm.img_tag+Canvas_Zoom_Icons:0,{IMG_TXT} Canvas Zoom Icons,{IMG_TXT} キャンバスのズームアイコン
Image_Editor.htm.img_tag+Collapse_Icon:0,{IMG_TXT} Collapse Icon,{IMG_TXT} 折りたたみアイコン
Image_Editor.htm.img_tag+Control_Icon:0,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:1,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:2,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:3,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:4,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:5,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:6,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:7,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:8,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Control_Icon:9,{IMG_TXT} Control Icon,{IMG_TXT} CTLRアイコン
Image_Editor.htm.img_tag+Delete_Frame_Icon:0,{IMG_TXT} Delete Frame Icon,{IMG_TXT} フレーム削除アイコン
Image_Editor.htm.img_tag+Delete_Key_Icon:0,{IMG_TXT} Delete Key Icon,{IMG_TXT} Deleteキーアイコン
Image_Editor.htm.img_tag+Enter_Icon:0,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Image_Editor.htm.img_tag+Enter_Icon:1,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Image_Editor.htm.img_tag+Enter_Icon:2,{IMG_TXT} Enter Icon,{IMG_TXT} Enterアイコン
Image_Editor.htm.img_tag+Escape_Icon:0,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Image_Editor.htm.img_tag+Escape_Icon:1,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Image_Editor.htm.img_tag+Escape_Icon:2,{IMG_TXT} Escape Icon,{IMG_TXT} Escapeアイコン
Image_Editor.htm.img_tag+Grid_Options_Icon:0,{IMG_TXT} Grid Options Icon,{IMG_TXT} グリッド設定アイコン
Image_Editor.htm.img_tag+Grid_Options_Icon:1,{IMG_TXT} Grid Options Icon,{IMG_TXT} グリッド設定アイコン
Image_Editor.htm.img_tag+Image_Editor_Animation_Strip:0,{IMG_TXT} Image Editor Animation Strip
Image_Editor.htm.img_tag+Image_Editor_Convert_to_Animation_Frames:0,{IMG_TXT} Image Editor Convert to Animation Frames,{IMG_TXT} イメージエディタのアニメーションフレーム変換
Image_Editor.htm.img_tag+Image_Editor_Grid_Options:0,{IMG_TXT} Image Editor Grid Options,{IMG_TXT} イメージエディタのグリッド設定
Image_Editor.htm.img_tag+Image_Editor_Import_Window:0,{IMG_TXT} Image Editor Import Window,{IMG_TXT} イメージエディタのインポートウィンドウ
Image_Editor.htm.img_tag+Image_Editor_Resize_Frames:0,{IMG_TXT} Image Editor Resize Frames,{IMG_TXT} イメージエディタのフレームサイズ変更
Image_Editor.htm.img_tag+LMB_Icon:0,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
Image_Editor.htm.img_tag+LMB_Icon:1,{IMG_TXT} LMB Icon,{IMG_TXT} 左クリックアイコン
